Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
Resolution No. 634 of 2021 of Georgian Government on 2022 State Program for Social Rehabilitation and Care of the Child,2021,Georgia,This Resolution approves the 2022 State Program for Social Rehabilitation and Care of the Child. It consists of seven articles: Purpose of the program (1); Subprograms (components) of the program (2); Source and mechanism of the program financing (3); Beneficiaries of the program (4); Program supervision (5); Penalties (6); and Program implementation timeline (7). Subprograms (components) of the program include: Providing services in day centers (Annex 1.1); Subprogram for supplying support items (Annex 1.2); Subprogram for supporting the communication of deaf people (Annex 1.3); Community organizations’ subprogram (Annex 1.4); Subprogram for rehabilitation of veterans (Annex 1.5); Required criteria (medical diagnosis) for receiving wheelchairs under the subprogram for supplying support items (Annex 1.6); Required criteria (medical diagnosis) for receiving medium or highly fit pediatric wheelchairs under the subprogram for supplying support items (Annex 1.7); and Required criteria (medical diagnosis) for receiving electric wheelchairs under the subprogram for supplying support items (Annex 1.8). The additional subprograms (components) of the program include: Assistance sub-program aimed for families with child(ren) in crisis (Annex 2.1); Early childhood development subprogram (Annex 2.2); Child rehabilitation/habilitation subprogram (Annex 2.3); Day center subprogram (Annex 2.4); Subprogram for providing shelter for mothers and children (Annex 2.5); Subprogram for child foster care (Annex 2.6); Subprogram for small-sized family-type houses (Annex 2.7); Subprogram for providing shelter to homeless children (Annex 2.8); Home-based care of children with severe and deep mental developmental retardation (Annex 2.9); Specialized family-style services subprogram for children with severe and deep disabilities and health problems (Annex 2.10); Reintegration program for children without care (Annex 2.11); Subprogram to support youth aged 18-21 who have left the state care system (Annex 2.12); Subprogram to provide food to youth aged 18-21 who have left the state care system (Annex 2.13); Subprogram for the long-term pediatric care medical-social center (Annex 2.14); Requirements criteria to determine the target group of the early pediatric care subprogram (codes of diagnoses according to ICD-10) (Annex 2.15).,https://www.ecolex.org/details/legislation/resolution-no-634-of-2021-of-georgian-government-on-2022-state-program-for-social-rehabilitation-and-care-of-the-child-lex-faoc209906/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,"Agricultural & rural development, Food & nutrition",,"Youth, Human rights, Subsidy/incentive, Poverty, Social protection, Food security","Asia, Black Sea, Eastern Europe, Europe, Europe and Central Asia, Western Asia",,ECOLEX_Legislation
Order No. 85 of 2021 of Minister of Internal Affairs of Georgia on Rules for Providing Firefighting and Accident-Rescue Services,2021,Georgia,This Order approves the rules for providing firefighting and accident-rescue services. It consists of nine chapters: General provisions (I); Management of firefighter and/or emergency services units and other response forces and methods (II); Extinguishing fires and carrying out accident-rescue services (III); Carrying out accident-rescue services/rescue services (IV); Extinguishing fires and carrying out accident-rescue services under challenging circumstances (V); Extinguishing fires and carrying out accident-rescue services under in extremely dangerous situations (VI); Extinguishing fires and carrying out accident-rescue services in buildings (VII); Extinguishing fires and carrying out accident-rescue services outdoors (VIII); and Extinguishing fires and carrying out accident-rescue services when transportation is involved (IX).,https://www.ecolex.org/details/legislation/order-no-85-of-2021-of-minister-of-internal-affairs-of-georgia-on-rules-for-providing-firefighting-and-accident-rescue-services-lex-faoc209905/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,Environment gen.,Regulation,"Hazards, Forest fires, Governance, Procedural matters","Asia, Black Sea, Eastern Europe, Europe, Europe and Central Asia, Western Asia",,ECOLEX_Legislation
Resolution No. 80 of 2021 of National Regulatory Commission of Energy and Water Supply of Georgia on Rules for Natural Gas Distribution Network,2021,Georgia,This Order approves the rules for natural gas distribution network. It consists of 18 chapters: General provisions (I); General terms of the service (II); General principles for providing a distribution service (III); Network services and network linkages (IV); Other network services (V); Internal network of consumers and supervision (VI); Principles in relation to consumers for supply and network management (VII); Special needs and their service terms (VIII); Relations between a supplier and a system operator (IX); Public access of information and accountability (X); Establishing facts and saving data (XI); General terms for use-development (XII); Description of entry and exit points in the distribution network (XIII); Agreements between connected system operators (XIV); Development of the distribution network (XV); Services and duties of the system operator (XVI); Metering natural gas (XVII); and Final provisions (XVIII).,https://www.ecolex.org/details/legislation/resolution-no-80-of-2021-of-national-regulatory-commission-of-energy-and-water-supply-of-georgia-on-rules-for-natural-gas-distribution-network-lex-faoc209907/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,Energy,Regulation,"Consumer protection, Contract/agreement, Business/industry/corporations, Data collection/reporting, Internal trade, Natural gas","Asia, Black Sea, Eastern Europe, Europe, Europe and Central Asia, Western Asia",,ECOLEX_Legislation
Order No. 797 of 2021 of Minister of Justice of Georgia on Instruction about Registration of Enterprises and Non-commercial Legal Entities,2021,Georgia,This Order approves the instruction about registration of enterprises and non-commercial legal entities. It consists of eight chapters: General provisions (I); Access to information (II); Registration procedure and rules (III); Decision about registration (IV); Registration of a special plaintiff (V); Additional terms for registration (VI); Rules for approving a resolution in the case of an administrative misdemeanor (VII); and Transitional provisions (VIII).,https://www.ecolex.org/details/legislation/order-no-797-of-2021-of-minister-of-justice-of-georgia-on-instruction-about-registration-of-enterprises-and-non-commercial-legal-entities-lex-faoc209902/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,"Agricultural & rural development, General",Regulation,"Access-to-information, Business/industry/corporations, Procedural matters, Registration","Asia, Black Sea, Eastern Europe, Europe, Europe and Central Asia, Western Asia",,ECOLEX_Legislation
Order No. 87 of 2021 of Minister of Internal Affairs of Georgia on Code of Ethics for Staff of Emergency Management Service,2021,Georgia,This Order approves the code of ethics for the staff of the Emergency Management Service of the Ministry of Internal Affairs of Georgia. It consists of five chapters: Principles for a staff member’s work (1); General rules of conduct for a staff member (2); Public relations (3); Relations with the colleagues (4); and Liability for violating the code of ethics (5).,https://www.ecolex.org/details/legislation/order-no-87-of-2021-of-minister-of-internal-affairs-of-georgia-on-code-of-ethics-for-staff-of-emergency-management-service-lex-faoc209903/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,Environment gen.,Regulation,"Enforcement/compliance, Hazards, Governance, Institution, Procedural matters, Risk assessment/management","Asia, Black Sea, Eastern Europe, Europe, Europe and Central Asia, Western Asia",,ECOLEX_Legislation
Order No. 86 of 2021 of Minister of Internal Affairs of Georgia on List of Firefighting and Rescue Equipment of Staff of Emergency Management Service,2021,Georgia,This Order provides for the list of firefighting and rescue equipment of the staff of the Emergency Management Service. It consists of three articles: Scope of regulation and purpose (1); Determination of the number of special methods (2); and List of firefighting and rescue equipment of the staff of the Emergency Management Service (3).,https://www.ecolex.org/details/legislation/order-no-86-of-2021-of-minister-of-internal-affairs-of-georgia-on-list-of-firefighting-and-rescue-equipment-of-staff-of-emergency-management-service-lex-faoc209904/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,"Environment gen., Forestry",Regulation,"Hazards, Forest fires, Governance, Procedural matters, Risk assessment/management, Forest service/forest officers","Asia, Black Sea, Eastern Europe, Europe, Europe and Central Asia, Western Asia",,ECOLEX_Legislation
"Resolution no. 41/2021 approving the Statute of the National Institution of Meteorology, IP, abbreviated as INAM, IP.",2021,Mozambique,"This Resolution approves the Statute of the National Institution of Meteorology, IP (INAM, IP). The Statute, consisting of 37 articles divided into five Chapters, establishes composition, duties and responsibilities of this institution, entitled to perform the following activities: Install the meteorological and climate observation network and ensure its maintenance; Carry out meteorological and climatic observations in accordance with international standards; Ensure meteorological and climate early warnings and research on climate alerts; Ensure the observation of the results of national meteorological and climate observations; Monitor the operation of the national network of meteorological, agro-meteorological and air quality stations; Regulate the procedures for meteorological stations; Supervise the quality of meteorological instruments in meteorological observation networks; and Issue opinions to other entities on the standard technical specifications of meteorological instruments for the meteorological observation network.",https://www.ecolex.org/details/legislation/resolution-no-412021-approving-the-statute-of-the-national-institution-of-meteorology-ip-abbreviated-as-inam-ip-lex-faoc207685/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,Air & atmosphere,Regulation,"Institution, Legal proceedings/administrative proceedings, Research, Climate change, Early warning system, Hazards, Protection of environment, Environmental planning, Policy/planning","Africa, Eastern Africa, Indian Ocean, Least Developed Countries",This Resolution enters into force on the day of its publication.,ECOLEX_Legislation
"Decree No. 10.403 approving the Regulation of the Goiana Agency for Technical Assistance, Rural Extension and Agricultural Research (EMATER).",2024,Brazil,"This Decree approves the Regulation of the Goiana Agency for Technical Assistance, Rural Extension and Agricultural Research (EMATER). EMATER is responsible for implementing the State policy on technical assistance, rural extension and agricultural research, in addition to activities aimed at sustainable rural development, with priority assistance to family farming, in accordance with Federal Law No. 11.326 of 24 July 2006.",https://www.ecolex.org/details/legislation/decree-no-10403-approving-the-regulation-of-the-goiana-agency-for-technical-assistance-rural-extension-and-agricultural-research-emater-lex-faoc223655/?type=legislation&xsubjects=Mineral+resources&page=2,"Agricultural & rural development, Livestock",Regulation,"Agricultural development, Capacity building, Management/conservation, Research, Rural employment","Amazonia, Americas, Latin America and the Caribbean, North Atlantic, South America, South Atlantic",This Decree enters into force on the day of its publication.,ECOLEX_Legislation
Law No. 18.855 creating the State Policy to Promote Precision Agriculture within the State of Santa Catarina and adopts other measures.,2024,Brazil,"This Law creates the State Policy to Promote Precision Agriculture in the State of Santa Catarina with the aim of promoting the modernization and sustainability of agriculture, through the adoption of precision technologies in agricultural and livestock production. The specific objectives of the State Policy are: encourage the adoption of precision technologies in agricultural and livestock production, aiming to improve product quality and reduce production costs; promote the dissemination of information and knowledge about precision technologies available for agriculture; support research and development of precision technologies for agriculture; establish partnerships with public and private institutions for the development of precision agriculture in the State; establish criteria and guidelines for granting tax and financial incentives to rural producers who adopt precision technologies in their agricultural and livestock activities; promote the creation of cooperatives and associations of rural producers for the joint adoption of precision technologies.",https://www.ecolex.org/details/legislation/law-no-18855-creating-the-state-policy-to-promote-precision-agriculture-within-the-state-of-santa-catarina-and-adopts-other-measures-lex-faoc224225/?type=legislation&xsubjects=Mineral+resources&page=2,"Agricultural & rural development, Livestock",Legislation,"Agricultural development, Protection of environment, Sustainable development, Sustainable use, Animal production, Capacity building","Amazonia, Americas, Latin America and the Caribbean, North Atlantic, South America, South Atlantic",This Law enters into force on the day of its publication.,ECOLEX_Legislation
Law No. 1.925 establishing the guidelines for strengthening family farming cooperatives within the State of Roraima.,2024,Brazil,"This Law establishes the guidelines for strengthening family farming cooperatives within the State of Roraima. These guidelines aim at the: creation and strengthening of participation mechanisms for associates and members of their families, with the creation of spaces within the cooperative and community that take into account gender and youth dimensions, promoting access to consultation and management decisions and youth; development of capabilities to achieve the different dimensions of cooperative for members and the community, such as cooperative training, managers and leaders, exercise of citizenship, market access mechanisms, investments, development of administration, logistics, communication and marketing; establishment of alliances and mechanisms for access to services, policies and resources and forms of joint action with relevant sectors to achieve the objectives of cooperative in different areas of society; strengthening mechanisms for representation and training of cooperative leaders, through spaces and bodies for participation, training and management; creation of State legislation for the acquisition of family farming products by State audiences.",https://www.ecolex.org/details/legislation/law-no-1925-establishing-the-guidelines-for-strengthening-family-farming-cooperatives-within-the-state-of-roraima-lex-faoc224211/?type=legislation&xsubjects=Mineral+resources&page=2,Agricultural & rural development,Legislation,"Family farming, Legal proceedings/administrative proceedings, Cooperative/producer organization, Farming","Amazonia, Americas, Latin America and the Caribbean, North Atlantic, South America, South Atlantic",This Law enters into force on the day of its publication.,ECOLEX_Legislation
Measures for the Administration of Central Reserve Cotton.,2024,China,"These Measures are formulated in order to strengthen the management of central cotton reserves, ensure the quantity authenticity, good quality and storage safety of central cotton reserves, and effectively play the role of central cotton reserves in national macro-control.",https://www.ecolex.org/details/legislation/measures-for-the-administration-of-central-reserve-cotton-lex-faoc223517/?type=legislation&xsubjects=Mineral+resources&page=2,Agricultural & rural development,Regulation,"Agricultural commodities, Internal trade, Inspection, Processing/handling, Financing","Asia, Asia and the Pacific, East Asian Seas, Eastern Asia, North Pacific, North-West Pacific",,ECOLEX_Legislation
Interim Measures for the Administration of Carbon Emission Permit Trading.,2024,China,"These Regulations are formulated in order to regulate carbon emission permit trading and related activities, strengthen the control of greenhouse gas emissions, actively and steadily promote carbon peak and carbon neutrality, promote green and low-carbon economic and social development.",https://www.ecolex.org/details/legislation/interim-measures-for-the-administration-of-carbon-emission-permit-trading-lex-faoc223331/?type=legislation&xsubjects=Mineral+resources&page=2,"Air & atmosphere, Energy, Environment gen.",Regulation,"Climate change, Registration, Internal trade, Inspection, Emissions trading, International relations/cooperation, Emissions, Energy conservation/energy production","Asia, Asia and the Pacific, East Asian Seas, Eastern Asia, North Pacific, North-West Pacific",,ECOLEX_Legislation
Commission Implementing Decision (EU) 2024/373 on the harmonised standards for inspection of pesticide application equipment in use drafted in support of Directive 2009/128/EC.,2024,European Union,"This Decision makes references to harmonised standards for inspection of pesticide application equipment in use drafted in support of Directive 2009/128/EC, which are listed in the Annex to this Decision.",https://www.ecolex.org/details/legislation/commission-implementing-decision-eu-2024373-on-the-harmonised-standards-for-inspection-of-pesticide-application-equipment-in-use-drafted-in-support-of-directive-2009128ec-lex-faoc223615/?type=legislation&xsubjects=Mineral+resources&page=2,"Agricultural & rural development, Forestry, Cultivated plants",Regulation,"Equipment, Inspection, Pesticides, Standards",European Union Countries,This Decision shall enter into force on the day of its publication in the Official Journal of the European Union.,ECOLEX_Legislation
Ley Orgánica para la Gestión Integral del Riesgo de Desastres.,2024,Ecuador,"La presente Ley tiene por objeto normar los procesos para la planificación, organización y articulación de políticas y servicios para el conocimiento, prevision, prevención, mitigación; la respuesta y la recuperación ante emergencias, desastres, catástrofes, endemias y pandemias. También regula el funcionamiento del Sistema Nacional Descentralizado de Gestión Integral del Riesgo de Desastres garantizando la seguridad y protección de las personas, las colectividades y la naturaleza, frente a las amenazas de origen natural y antrópico, con el objetivo de reducir el riesgo de desastres. Se crea el Comité Nacional de Reducción de Riesgos; el Comité de Operaciones de Emergencia; el Comité Nacional de Recuperación y Reconstrucción; y la Comisión Técnica Especializada para la Comprensión y el Conocimiento del Riesgo. Se mandata la elaboración de una Política nacional de largo plazo para la gestión integral del riesgo de desastres, la cual tendrá un horizonte temporal de al menos quince años.",https://www.ecolex.org/details/legislation/ley-organica-para-la-gestion-integral-del-riesgo-de-desastres-lex-faoc223561/?type=legislation&xsubjects=Mineral+resources&page=2,"Environment gen., Food & nutrition, Land & soil, General",Legislation,"Basic legislation, Hazards, Risk assessment/management, Decentralisation, Integrated management, Policy/planning, Public health, Institution, Governance, Research, International relations/cooperation, Financing, Offences/penalties, Protection of environment, Climate change, Environmental planning, Early warning system, Land-use planning","Amazonia, Americas, Andean States, East Pacific, Latin America and the Caribbean, South America, South-Eastern Pacific",El presente Decreto Ejecutivo entrará en vigencia a partir de su publicación en el Registro Oficial.,ECOLEX_Legislation
