Document ID,Document Title,Family ID,Family Title,Family Summary,Collection Title(s),Collection Description(s),Document Variant,Document Content URL,Language,Source,Geography ISOs,Geographies,First event in timeline,Last event in timeline,Full timeline of events (types),Full timeline of events (dates),Date Added to System,Last Modified on System,Internal Document ID,Internal Family ID,Internal Corpus ID,Internal Collection ID(s),Framework,Topic/Response,Hazard,Sector,Keyword,Instrument,Author,Author Type,Document URL,Family URL,Document Role,Document Type,Category
regulation-eu-2023-1115-on-deforestation-free-products-eudr-consolidated-text_a7be,Regulation (EU) 2023/1115 on deforestation-free products (EUDR) - Consolidated text,regulation-eu-2023-1115-on-deforestation-free-products-eudr_1e29,Regulation (EU) 2023/1115 on deforestation-free products (EUDR),"<p>Deforestation is largely driven by the expansion of agricultural land that is linked to the production of commodities like soy, beef, palm oil, wood, cocoa, coffee, rubber and some of their derived products, such as leather, chocolate, tyres, or furniture. As a major economy and consumer of these commodities linked to deforestation and forest degradation, the EU introduced regulation to prevent deforestation.</p>
<p>Under the regulation, any operator or trader who places these commodities on the EU market, or exports from it, must be able to prove that the products do not originate from recently deforested land or have contributed to forest degradation.</p>
<p>The regulation on deforestation-free products repeals the <a href=""https://environment.ec.europa.eu/topics/forests/deforestation/illegal-logging/timber-regulation_en"" target=""_blank"">EU Timber Regulation</a>. As of 29 June 2023, operators and traders will have 18 months to implement the new rules. Micro and small enterprises will enjoy a longer adaptation period, as well as other specific provisions.The amendment brought by Regulation (EU) 2024/3234 postpones the date of application of the EUDR’s operational obligations (for large‑scale operators/traders) from 30 December 2024 to 30 December 2025 and for micro‑ and small enterprises, to 30 June 2026.</p>
<p></p>",,,Original Language,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/European+Union/European+Union+Batch+2/EUDR+-+consolidated+text.pdf,English,CCLW,EUR,European Union,2023-05-31 00:00:00+00:00,2024-12-19,Passed/Approved;Passed/Approved,2023-05-31;2024-12-19,2025-11-08,2025-12-03,CCLW.document.i00006382.n0000,CCLW.family.rtl_52.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Residential and Commercial;LULUCF,Deforestation,"Standards, obligations and norms|Regulation",,,https://climate-laws.org/documents/regulation-eu-2023-1115-on-deforestation-free-products-eudr-consolidated-text_a7be,https://climate-laws.org/document/regulation-eu-2023-1115-on-deforestation-free-products-eudr_1e29,Supporting Documentation,Eu Regulation,Legislative
regulation-eu-2023-1115-on-deforestation-free-products-eudr_8963,Regulation (EU) 2023/1115 on deforestation-free products (EUDR),regulation-eu-2023-1115-on-deforestation-free-products-eudr_1e29,Regulation (EU) 2023/1115 on deforestation-free products (EUDR),"<p>Deforestation is largely driven by the expansion of agricultural land that is linked to the production of commodities like soy, beef, palm oil, wood, cocoa, coffee, rubber and some of their derived products, such as leather, chocolate, tyres, or furniture. As a major economy and consumer of these commodities linked to deforestation and forest degradation, the EU introduced regulation to prevent deforestation.</p>
<p>Under the regulation, any operator or trader who places these commodities on the EU market, or exports from it, must be able to prove that the products do not originate from recently deforested land or have contributed to forest degradation.</p>
<p>The regulation on deforestation-free products repeals the <a href=""https://environment.ec.europa.eu/topics/forests/deforestation/illegal-logging/timber-regulation_en"" target=""_blank"">EU Timber Regulation</a>. As of 29 June 2023, operators and traders will have 18 months to implement the new rules. Micro and small enterprises will enjoy a longer adaptation period, as well as other specific provisions.The amendment brought by Regulation (EU) 2024/3234 postpones the date of application of the EUDR’s operational obligations (for large‑scale operators/traders) from 30 December 2024 to 30 December 2025 and for micro‑ and small enterprises, to 30 June 2026.</p>
<p></p>",,,Original Language,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/European+Union/European+Union+Batch+2/EUDR+-+initial+text.pdf,English,CCLW,EUR,European Union,2023-05-31 00:00:00+00:00,2024-12-19,Passed/Approved;Passed/Approved,2023-05-31;2024-12-19,2023-11-30,2025-12-03,CCLW.legislative.rtl_52.rtl_253,CCLW.family.rtl_52.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Residential and Commercial;LULUCF,Deforestation,"Standards, obligations and norms|Regulation",,,https://climate-laws.org/documents/regulation-eu-2023-1115-on-deforestation-free-products-eudr_8963,https://climate-laws.org/document/regulation-eu-2023-1115-on-deforestation-free-products-eudr_1e29,Main,Eu Regulation,Legislative
directive-eu-2024-825-on-empowering-consumers-for-the-green-transition_7aeb,Directive (EU) 2024/825 on Empowering Consumers for the Green Transition,directive-eu-2024-825-on-empowering-consumers-for-the-green-transition_1989,Directive (EU) 2024/825 on Empowering Consumers for the Green Transition ,"<p>This EU Directive introduces specific rules to tackle unfair commercial practices that mislead consumers and prevent them from making sustainable consumption choices. It tackles greenwashing by amending the Unfair Commercial Practices Directive (UCPD), specifically Articles 6 and 7.</p>
<p>Environmental claims relating to future environmental performance are considered misleading if they are not substantiated with ""clear, objective, publicly available and verifiable commitments set out in a detailed and realistic implementation plan that includes measurable and time-bound targets and other relevant elements necessary to support its implementation"" (Art 6). The claims must also be ""regularly"" verified by an independent third party expert, whose findings will be made available to consumers. Practices are assessed on a case-by-case basis as to whether they are considered misleading and therefore prohibited.</p>
<p>However, the Directive also adds practices to the blacklist in Annex I of the UCPD, which means that such misleading practices are prohibited in all cases. This includes: generic environmental claims unless they are properly substantiated, environmental claims about the entire product or business, claims that a product has a neutral, reduced or positive impact on the environment if the claim is based on offsetting of greenhouse gas emissions.</p>
<p>Member States need to transpose this Directive into national law by 27 March 2026, with further 6 months to apply the new rules.</p>",,,Original Language,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/European+Union/European+Union+Batch+2/Directive+%28EU%29+2024-825+-+Empowering+consumers+for+the+green+transition.pdf,English;English,CCLW,EUR,European Union,2024-02-28 00:00:00+00:00,2024-02-28,Passed/Approved,2024-02-28,2024-03-13,2025-12-03,CCLW.document.i00000769.n0000,CCLW.family.i00000766.n0000,CCLW.corpus.i00000001.n0000,,,Mitigation,,Economy-wide,Greenwashing;Advertising;Disclosure,,,,https://climate-laws.org/documents/directive-eu-2024-825-on-empowering-consumers-for-the-green-transition_7aeb,https://climate-laws.org/document/directive-eu-2024-825-on-empowering-consumers-for-the-green-transition_1989,Main,Eu Directive,Legislative
directive-eu-2024-3019-concerning-urban-wastewater-treatment_31bb,Directive (EU) 2024/3019 concerning urban wastewater treatment,directive-eu-2024-3019-concerning-urban-wastewater-treatment_cdf5,Directive (EU) 2024/3019 concerning urban wastewater treatment,"<p>This Directive lays down rules on the collection, treatment and discharge of urban wastewater, to protect the environment and human health, while progressively reducing greenhouse gas (GHG) emissions to sustainable levels, improving the energy balance of urban wastewater collection and treatment activities and contributing to the transition towards a circular economy. It also lays down rules on access to sanitation for all, on transparency of the urban wastewater sector, on the regular surveillance of relevant public health parameters in urban wastewater and on the implementation of the polluter-pays principle.</p>",,,Original Language,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/European+Union/European+Union+Batch+2/Directive+%28EU%29+2024-3019+concerning+urban+wastewater+treatment.pdf,English,CCLW,EUR,European Union,2024-11-27 00:00:00+00:00,2024-11-27,Passed/Approved,2024-11-27,2025-11-09,2025-12-03,CCLW.document.i00006393.n0000,CCLW.family.i00006392.n0000,CCLW.corpus.i00000001.n0000,,,Mitigation,,Urban;Environment,Waste;Water,,,,https://climate-laws.org/documents/directive-eu-2024-3019-concerning-urban-wastewater-treatment_31bb,https://climate-laws.org/document/directive-eu-2024-3019-concerning-urban-wastewater-treatment_cdf5,Main,Eu Directive,Legislative
decision-eu-2022-591-on-a-general-union-environment-action-programme-to-2030_5a4a,Decision (EU) 2022/591 on a General Union Environment Action Programme to 2030,decision-eu-2022-591-on-a-general-union-environment-action-programme-to-2030_3384,Decision (EU) 2022/591 on a General Union Environment Action Programme to 2030,"<p>According article 1, this Decision sets out a general action programme in the field of the environment for the period up to 31 December 2030 (the ‘8th Environment Action programme’ or ‘8th EAP’). It lays down the priority objectives of the 8th EAP and identifies the enabling conditions necessary to attain those priority objectives. It establishes a monitoring framework to measure the progress of the Union and its Member States towards the attainment of the priority objectives of the 8th EAP and a governance mechanism to ensure attainment of those priority objectives.The 8th EAP aims to accelerate the green transition to a climate-neutral, sustainable, non-toxic, resource-efficient, renewable energy-based, resilient and competitive circular economy in a just, equitable and inclusive way, and to protect, restore and improve the state of the environment by, inter alia, halting and reversing biodiversity loss. It supports and strengthens an integrated policy and implementation approach, building upon the European Green Deal.</p>
<p>The 8th EAP forms the basis for achieving the environmental and climate objectives defined under the UN 2030 Agenda and its SDGs as well as for those pursued by multilateral environmental and climate agreements.</p>",,,Original Language,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/European+Union/European+Union+Batch+2/Decision+(EU)+2022-591+on+a+General+Union+Environment+Action+Programme+to+2030.pdf,English;English,CCLW,EUR,European Union,2022-04-06 00:00:00+00:00,2022-04-06,Passed/Approved,2022-04-06,2023-11-30,2025-12-03,CCLW.legislative.10796.6041,CCLW.family.10796.0,CCLW.corpus.i00000001.n0000,,,Adaptation;Mitigation,,Economy-wide;Environment,,Institutional mandates|Governance,,,https://climate-laws.org/documents/decision-eu-2022-591-on-a-general-union-environment-action-programme-to-2030_5a4a,https://climate-laws.org/document/decision-eu-2022-591-on-a-general-union-environment-action-programme-to-2030_3384,Main,Eu Decision,Legislative
commission-implementing-regulation-eu-2020-1208-on-structure-format-submission-processes-and-review-of-information-reported-by-member-states-pursuant-to-regulation-eu-2018-1999-consolidated-text_0433,"Commission Implementing Regulation (EU) 2020/1208 on structure, format, submission processes and review of information reported by Member States pursuant to Regulation (EU) 2018/1999 (Consolidated text)",commission-implementing-regulation-eu-2020-1208-on-structure-format-submission-processes-and-review-of-information-reported-by-member-states-pursuant-to-regulation-eu-2018-1999_fbae,"Commission Implementing Regulation (EU) 2020/1208 on structure, format, submission processes and review of information reported by Member States pursuant to Regulation (EU) 2018/1999","<p>Commission Implementing Regulation 2020/1208 sets out the detailed rules for how Member States must report information under Regulation (EU) 2018/1999 (the Governance of the Energy Union and Climate Action).<a href=""https://eur-lex.europa.eu/eli/reg_impl/2020/1208/oj/eng?utm_source=chatgpt.com"" target=""_self""> </a>Specifically, it defines the structure, format, submission processes, and review procedures for the reports and data that Member States provide to the Commission. It covers things like templates for progress reports and greenhouse‑gas inventories, timing and review cycles, and how the Commission and the European Environment Agency (EEA) conduct comprehensive reviews of the reported data. The amendments brought by Commission Implementing Regulation 2024/1281 improves reporting and review processes.</p>",EU Governance Regulation,"Regulation (EU) 2018/1999, the Governance of the Energy Union and Climate Action, sets the framework for planning, reporting, and monitoring EU and national climate and energy policies. It requires Member States to prepare integrated national energy and climate plans (NECPs), report progress regularly, and ensures that the EU meets its climate, renewable energy, and energy efficiency targets. The Regulation also establishes mechanisms for reviewing data, assessing collective progress, and coordinating policies to achieve the EU’s long-term climate and energy objectives.",Original Language,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/European+Union/European+Union+Batch+2/Commission+Implementing+Regulation+(EU)+2020-1208+consolidated+text.pdf,English,CCLW,EUR,European Union,2020-08-07 00:00:00+00:00,2024-05-07,Passed/Approved;Passed/Approved,2020-08-07;2024-05-07,2025-11-08,2026-02-13,CCLW.document.i00006369.n0000,CCLW.family.i00006367.n0000,CCLW.corpus.i00000001.n0000,CCLW.collection.i00006366.n0000,,Mitigation,,Cross Cutting Area,Governance,,,,https://climate-laws.org/documents/commission-implementing-regulation-eu-2020-1208-on-structure-format-submission-processes-and-review-of-information-reported-by-member-states-pursuant-to-regulation-eu-2018-1999-consolidated-text_0433,https://climate-laws.org/document/commission-implementing-regulation-eu-2020-1208-on-structure-format-submission-processes-and-review-of-information-reported-by-member-states-pursuant-to-regulation-eu-2018-1999_fbae,Supporting Documentation,Eu Regulation,Executive
regulation-eu-2019-1242-setting-co2-emission-performance-standards-for-new-heavy-duty-vehicles_4274,Regulation (EU) 2019/1242 setting CO2 emission performance standards for new heavy-duty vehicles,regulation-eu-2019-1242-setting-co2-emission-performance-standards-for-new-heavy-duty-vehicles-amended-by-regulation-eu-2024-1610-and-commission-delegated-regulation-eu-2025-1045_2da5,"Regulation (EU) 2019/1242  setting CO2 emission performance standards for new heavy-duty vehicles, amended by Regulation (EU) 2024/1610 and Commission Delegated Regulation (EU) 2025/1045","<p>Regulation (EU) 2019/1242 sets targets for reducing the average emissions from new lorries for 2025 and 2030. It is expected to bring the following benefits:</p>
<ul>
<li>Around 54 million tonnes of CO2 reduced in the period 2020 to 2030;</li>
<li>Savings at the pump amounting to around €25 000 in the first 5 years of use for a new lorry bought in 2025 and up to about €55 000 in the first 5 years of use for a new lorry bought in 2030;</li>
<li>Oil savings of up to 170 million tonnes of oil over the period 2020 to 2040;</li>
<li>GDP increases resulting in the creation of jobs.</li>
</ul>
<p>Regulation (EU) 2024/1610 strengthens CO2 emission performance standards for new heavy-duty vehicles (HDVs) and integrates reporting obligations. It amends Regulation (EU) 2019/1242 and aligns with the European Green Deal's goal of climate neutrality by 2050, focusing on reducing greenhouse gas emissions, particularly from the transport sector.</p>",,,Original Language,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/European+Union/European+Union+Batch+2/Regulation+%28EU%29+2019-1242+setting+CO2+emission+performance+standards+for+new+heavy-duty+vehicles.pdf,English,CPR,EUR,European Union,2019-06-20 00:00:00+00:00,2025-05-20,Passed/Approved;Passed/Approved;Passed/Approved,2019-06-20;2025-05-20;2024-06-06,2025-11-08,2025-12-03,CPR.document.i00006979.n0000,CPR.family.i00000881.n0000,CPR.corpus.i00000001.n0000,,,Mitigation,,Transport,Energy Efficiency,"Standards, obligations and norms|Regulation",,,https://climate-laws.org/documents/regulation-eu-2019-1242-setting-co2-emission-performance-standards-for-new-heavy-duty-vehicles_4274,https://climate-laws.org/document/regulation-eu-2019-1242-setting-co2-emission-performance-standards-for-new-heavy-duty-vehicles-amended-by-regulation-eu-2024-1610-and-commission-delegated-regulation-eu-2025-1045_2da5,Main,Eu Regulation,Legislative
commission-delegated-regulation-eu-2025-1045-amending-regulation-eu-2019-1242-as-regards-the-addition-of-vehicle-sub-groups-for-extra-heavy-combination-lorries_fe5c,Commission Delegated Regulation (EU) 2025/1045 amending Regulation (EU) 2019/1242 as regards the addition of vehicle sub-groups for extra-heavy-combination lorries,regulation-eu-2019-1242-setting-co2-emission-performance-standards-for-new-heavy-duty-vehicles-amended-by-regulation-eu-2024-1610-and-commission-delegated-regulation-eu-2025-1045_2da5,"Regulation (EU) 2019/1242  setting CO2 emission performance standards for new heavy-duty vehicles, amended by Regulation (EU) 2024/1610 and Commission Delegated Regulation (EU) 2025/1045","<p>Regulation (EU) 2019/1242 sets targets for reducing the average emissions from new lorries for 2025 and 2030. It is expected to bring the following benefits:</p>
<ul>
<li>Around 54 million tonnes of CO2 reduced in the period 2020 to 2030;</li>
<li>Savings at the pump amounting to around €25 000 in the first 5 years of use for a new lorry bought in 2025 and up to about €55 000 in the first 5 years of use for a new lorry bought in 2030;</li>
<li>Oil savings of up to 170 million tonnes of oil over the period 2020 to 2040;</li>
<li>GDP increases resulting in the creation of jobs.</li>
</ul>
<p>Regulation (EU) 2024/1610 strengthens CO2 emission performance standards for new heavy-duty vehicles (HDVs) and integrates reporting obligations. It amends Regulation (EU) 2019/1242 and aligns with the European Green Deal's goal of climate neutrality by 2050, focusing on reducing greenhouse gas emissions, particularly from the transport sector.</p>",,,Original Language,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/European+Union/European+Union+Batch+2/Commission+Delegated+Regulation+(EU)+2025-1045+of+20+May+2025+amending+Regulation+(EU)+2019-1242.pdf,English,CPR,EUR,European Union,2019-06-20 00:00:00+00:00,2025-05-20,Passed/Approved;Passed/Approved;Passed/Approved,2019-06-20;2025-05-20;2024-06-06,2025-11-08,2025-12-03,CPR.document.i00006980.n0000,CPR.family.i00000881.n0000,CPR.corpus.i00000001.n0000,,,Mitigation,,Transport,Energy Efficiency,"Standards, obligations and norms|Regulation",,,https://climate-laws.org/documents/commission-delegated-regulation-eu-2025-1045-amending-regulation-eu-2019-1242-as-regards-the-addition-of-vehicle-sub-groups-for-extra-heavy-combination-lorries_fe5c,https://climate-laws.org/document/regulation-eu-2019-1242-setting-co2-emission-performance-standards-for-new-heavy-duty-vehicles-amended-by-regulation-eu-2024-1610-and-commission-delegated-regulation-eu-2025-1045_2da5,Amendment,Regulation,Legislative
council-regulation-eu-euratom-2020-2093-laying-down-the-multiannual-financial-framework-for-the-years-2021-to-2027_b481,"Council Regulation (EU, Euratom) 2020/2093 laying down the multiannual financial framework for the years 2021 to 2027",council-regulation-eu-euratom-2020-2093-laying-down-the-multiannual-financial-framework-for-the-years-2021-to-2027-last-amended-by-council-regulation-eu-euratom-2024-765-mff-2021-2027_463f,"Council Regulation (EU, Euratom) 2020/2093 laying down the multiannual financial framework for the years 2021 to 2027, last amended by Council Regulation (EU,Euratom) 2024/765 (MFF 2021-2027)","<p>The Regulation sets the EU’s seven‑year budgetary framework (the MFF) for 2021‑2027, establishing the maximum annual ceilings for commitments and payments across the major spending headings and ensuring predictability for medium‑term investments. It obliges the EU institutions to comply with these ceilings when preparing and implementing the annual budgets.</p>
<p>The Regulation has been amended to respond to evolving circumstances—including support for Ukraine and adjustments for “new own resources”— through Council Regulation (EU, Euratom) 2022/2496 and Council Regulation (EU, Euratom) 2024/765, which modify the ceilings and flexibilities within the MFF to reflect changing financial and geopolitical priorities.</p>",,,Original Language,"https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/European+Union/European+Union+Batch+2/Council+Regulation+(EU,+Euratom)+2020-2093+-+initial+text.pdf",English,CCLW,EUR,European Union,2020-12-15 00:00:00+00:00,2024-02-29,Passed/Approved;Passed/Approved;Passed/Approved,2024-02-29;2020-12-17;2020-12-15,2025-11-08,2026-01-13,CCLW.document.i00006374.n0000,CCLW.family.i00006373.n0000,CCLW.corpus.i00000001.n0000,,,Mitigation;Adaptation,,Economy-wide,Finance,,,,https://climate-laws.org/documents/council-regulation-eu-euratom-2020-2093-laying-down-the-multiannual-financial-framework-for-the-years-2021-to-2027_b481,https://climate-laws.org/document/council-regulation-eu-euratom-2020-2093-laying-down-the-multiannual-financial-framework-for-the-years-2021-to-2027-last-amended-by-council-regulation-eu-euratom-2024-765-mff-2021-2027_463f,Main,Eu Regulation,Legislative
council-regulation-eu-euratom-2020-2093-laying-down-the-multiannual-financial-framework-for-the-years-2021-to-2027-consolidated-text_a1e1,"Council Regulation (EU, Euratom) 2020/2093 laying down the multiannual financial framework for the years 2021 to 2027 (Consolidated text)",council-regulation-eu-euratom-2020-2093-laying-down-the-multiannual-financial-framework-for-the-years-2021-to-2027-last-amended-by-council-regulation-eu-euratom-2024-765-mff-2021-2027_463f,"Council Regulation (EU, Euratom) 2020/2093 laying down the multiannual financial framework for the years 2021 to 2027, last amended by Council Regulation (EU,Euratom) 2024/765 (MFF 2021-2027)","<p>The Regulation sets the EU’s seven‑year budgetary framework (the MFF) for 2021‑2027, establishing the maximum annual ceilings for commitments and payments across the major spending headings and ensuring predictability for medium‑term investments. It obliges the EU institutions to comply with these ceilings when preparing and implementing the annual budgets.</p>
<p>The Regulation has been amended to respond to evolving circumstances—including support for Ukraine and adjustments for “new own resources”— through Council Regulation (EU, Euratom) 2022/2496 and Council Regulation (EU, Euratom) 2024/765, which modify the ceilings and flexibilities within the MFF to reflect changing financial and geopolitical priorities.</p>",,,Original Language,"https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/European+Union/European+Union+Batch+2/Council+Regulation+(EU,+Euratom)+2020-2093+-+consolidated+text.pdf",English,CCLW,EUR,European Union,2020-12-15 00:00:00+00:00,2024-02-29,Passed/Approved;Passed/Approved;Passed/Approved,2024-02-29;2020-12-17;2020-12-15,2025-11-08,2026-01-13,CCLW.document.i00006375.n0000,CCLW.family.i00006373.n0000,CCLW.corpus.i00000001.n0000,,,Mitigation;Adaptation,,Economy-wide,Finance,,,,https://climate-laws.org/documents/council-regulation-eu-euratom-2020-2093-laying-down-the-multiannual-financial-framework-for-the-years-2021-to-2027-consolidated-text_a1e1,https://climate-laws.org/document/council-regulation-eu-euratom-2020-2093-laying-down-the-multiannual-financial-framework-for-the-years-2021-to-2027-last-amended-by-council-regulation-eu-euratom-2024-765-mff-2021-2027_463f,Supporting Documentation,Eu Regulation,Legislative
council-regulation-eu-euratom-2022-2496-amending-regulation-eu-euratom-2020-2093_7956,"Council Regulation (EU, Euratom) 2022/2496 amending Regulation (EU, Euratom) 2020/2093",council-regulation-eu-euratom-2020-2093-laying-down-the-multiannual-financial-framework-for-the-years-2021-to-2027-last-amended-by-council-regulation-eu-euratom-2024-765-mff-2021-2027_463f,"Council Regulation (EU, Euratom) 2020/2093 laying down the multiannual financial framework for the years 2021 to 2027, last amended by Council Regulation (EU,Euratom) 2024/765 (MFF 2021-2027)","<p>The Regulation sets the EU’s seven‑year budgetary framework (the MFF) for 2021‑2027, establishing the maximum annual ceilings for commitments and payments across the major spending headings and ensuring predictability for medium‑term investments. It obliges the EU institutions to comply with these ceilings when preparing and implementing the annual budgets.</p>
<p>The Regulation has been amended to respond to evolving circumstances—including support for Ukraine and adjustments for “new own resources”— through Council Regulation (EU, Euratom) 2022/2496 and Council Regulation (EU, Euratom) 2024/765, which modify the ceilings and flexibilities within the MFF to reflect changing financial and geopolitical priorities.</p>",,,Original Language,"https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/European+Union/European+Union+Batch+2/COUNCIL+REGULATION+(EU,+Euratom)+2022-2496.pdf",English,CCLW,EUR,European Union,2020-12-15 00:00:00+00:00,2024-02-29,Passed/Approved;Passed/Approved;Passed/Approved,2024-02-29;2020-12-17;2020-12-15,2025-11-08,2026-01-13,CCLW.document.i00006376.n0000,CCLW.family.i00006373.n0000,CCLW.corpus.i00000001.n0000,,,Mitigation;Adaptation,,Economy-wide,Finance,,,,https://climate-laws.org/documents/council-regulation-eu-euratom-2022-2496-amending-regulation-eu-euratom-2020-2093_7956,https://climate-laws.org/document/council-regulation-eu-euratom-2020-2093-laying-down-the-multiannual-financial-framework-for-the-years-2021-to-2027-last-amended-by-council-regulation-eu-euratom-2024-765-mff-2021-2027_463f,Amendment,Eu Regulation,Legislative
directive-eu-2022-362-amending-directive-1999-62-ec_6b70,Directive (EU) 2022/362 amending Directive 1999/62/EC,directive-1999-62-ec-on-the-charging-of-vehicles-for-the-use-of-road-infrastructures-as-amended-by-directive-eu-2022-362_ffd9,Directive 1999/62/EC on the charging of vehicles for the use of road infrastructures as amended by Directive (EU) 2022/362,"<p>Directive 1999/62/EC determines how Member States shall charge motorised road users. The 2022 amending directive notably sets the legal framework to transition from yearly taxation to a pay-per-kilometre system (road pricing) and to favour low-emitting vehicles, in order to ramp up incentives for climate-friendly choices and behaviours.</p>",,,Original Language,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/European+Union/European+Union+Batch+2/Charging+vehicles+-+Directive+2022-362.pdf,English,CCLW,EUR,European Union,1999-06-17 00:00:00+00:00,2022-02-24,Passed/Approved;Passed/Approved,1999-06-17;2022-02-24,2025-11-08,2025-12-03,CCLW.document.i00006362.n0000,CCLW.family.10797.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Transport,,"Standards, obligations and norms|Regulation;Tax incentives|Economic",,,https://climate-laws.org/documents/directive-eu-2022-362-amending-directive-1999-62-ec_6b70,https://climate-laws.org/document/directive-1999-62-ec-on-the-charging-of-vehicles-for-the-use-of-road-infrastructures-as-amended-by-directive-eu-2022-362_ffd9,Amendment,Eu Directive,Executive
consolidated-text-of-directive-1999-62-ec-on-the-charging-of-vehicles-for-the-use-of-road-infrastructures-as-amended-by-directive-eu-2022-362_a5e6,Consolidated text of Directive 1999/62/EC on the charging of vehicles for the use of road infrastructures as amended by Directive (EU) 2022/362,directive-1999-62-ec-on-the-charging-of-vehicles-for-the-use-of-road-infrastructures-as-amended-by-directive-eu-2022-362_ffd9,Directive 1999/62/EC on the charging of vehicles for the use of road infrastructures as amended by Directive (EU) 2022/362,"<p>Directive 1999/62/EC determines how Member States shall charge motorised road users. The 2022 amending directive notably sets the legal framework to transition from yearly taxation to a pay-per-kilometre system (road pricing) and to favour low-emitting vehicles, in order to ramp up incentives for climate-friendly choices and behaviours.</p>",,,Original Language,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/European+Union/European+Union+Batch+2/Charging+vehicles+-+Directive+1999-62-EC+consolidated+text.pdf,English;English,CCLW,EUR,European Union,1999-06-17 00:00:00+00:00,2022-02-24,Passed/Approved;Passed/Approved,1999-06-17;2022-02-24,2023-11-30,2025-12-03,CCLW.executive.10797.6043,CCLW.family.10797.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Transport,,"Standards, obligations and norms|Regulation;Tax incentives|Economic",,,https://climate-laws.org/documents/consolidated-text-of-directive-1999-62-ec-on-the-charging-of-vehicles-for-the-use-of-road-infrastructures-as-amended-by-directive-eu-2022-362_a5e6,https://climate-laws.org/document/directive-1999-62-ec-on-the-charging-of-vehicles-for-the-use-of-road-infrastructures-as-amended-by-directive-eu-2022-362_ffd9,Supporting Documentation,Eu Regulation,Executive
directive-1999-62-ec-on-the-charging-of-vehicles-for-the-use-of-road-infrastructures_d7fa,Directive 1999/62/EC on the charging of vehicles for the use of road infrastructures,directive-1999-62-ec-on-the-charging-of-vehicles-for-the-use-of-road-infrastructures-as-amended-by-directive-eu-2022-362_ffd9,Directive 1999/62/EC on the charging of vehicles for the use of road infrastructures as amended by Directive (EU) 2022/362,"<p>Directive 1999/62/EC determines how Member States shall charge motorised road users. The 2022 amending directive notably sets the legal framework to transition from yearly taxation to a pay-per-kilometre system (road pricing) and to favour low-emitting vehicles, in order to ramp up incentives for climate-friendly choices and behaviours.</p>",,,Original Language,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/European+Union/European+Union+Batch+2/Charging+vehicles+-+Directive+1999-62-EC+initial+text.pdf,English;English,CCLW,EUR,European Union,1999-06-17 00:00:00+00:00,2022-02-24,Passed/Approved;Passed/Approved,1999-06-17;2022-02-24,2023-11-30,2025-12-03,CCLW.executive.10797.6044,CCLW.family.10797.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Transport,,"Standards, obligations and norms|Regulation;Tax incentives|Economic",,,https://climate-laws.org/documents/directive-1999-62-ec-on-the-charging-of-vehicles-for-the-use-of-road-infrastructures_d7fa,https://climate-laws.org/document/directive-1999-62-ec-on-the-charging-of-vehicles-for-the-use-of-road-infrastructures-as-amended-by-directive-eu-2022-362_ffd9,Main,Eu Regulation,Executive
