Policy,Year,Keyword,Policy_Content,URL,Type,Source
S. 1201 – US CLIMATE Act of 2021,2021,United States,"This bill would establish a foreign assistance program to support forest management in developing countries. The program would oversee robust monitoring, reporting, and verification to conserve forests for their carbon sequestration value, reducing forest degradation and deforestation.",https://cdrlaw.org/resources/s-1201-us-climate-act-of-2021/,Proposed Legislation,CDR_NETS
H.R. 5205 – NET Zero Act of 2021,2021,"Enhanced Oil Recovery,United States","This bill would amend the 45Q tax credit by removing the deadline for DAC to geologic storage and enforcing a 10-year deadline for DAC to EOR. The bill would reduce the minimum capture threshold requirements from 100,000 tons to 1,000, and increase the credit amount to $180 for DAC to geologic storage and $130 for DAC to EOR.",https://cdrlaw.org/resources/h-r-5205-net-zero-act-of-2021/,Proposed Legislation,CDR_NETS
H.R. 4534 – FAIR Transition and Competition Act,2021,"Environmental Justice,United States","This bill would create the Resilient Communities Grant Program to provide states with resources to equitably assist vulnerable communities with climate resilience efforts. The program would support the development and commercialization of emissions reduction technologies, including projects such as climate-smart infrastructure, agricultural climate solutions, and natural climate solutions to build climate resilience and support carbon sequestration.",https://cdrlaw.org/resources/h-r-4534-fair-transition-and-competition-act/,Proposed Legislation,CDR_NETS
H.R. 3906 – Blue Carbon Protection Act,2021,United States,"This bill would establish a Blue Carbon Program within NOAA to further conservation objectives, focusing on the research and evaluation of blue carbon storage as well as protection and restoration of blue carbon ecosystems. For the latter, the bill would establish a grant program and require NOAA to designate “blue carbon areas of significance” with guidelines for their protection. The bill also directs FWS, NPS, and NOAA to conduct coastal and marine activities to sequester carbon and halt carbon and methane emissions.",https://cdrlaw.org/resources/h-r-3906-blue-carbon-protection-act/,Proposed Legislation,CDR_NETS
H.R. 3892 – National Ocean and Coastal Security Improvements Act of 2021,2021,United States,"This bill calls for $200 million of funding each year between 2021 and 2030 for ocean-based climate solutions to mitigate climate change, improve resilience for coastal communities, and conserve and restore ocean and coastal ecosystems.",https://cdrlaw.org/resources/h-r-3892-national-ocean-and-coastal-security-improvements-act-of-2021/,Proposed Legislation,CDR_NETS
H.R. 3585 – REGROW Act of 2021,2021,"Environmental Justice,United States","This bill would amend the Energy Policy Act of 2005 to require that the Secretary of the Interior establish and fund a program for state and tribal governments to plug, remediate, and reclaim orphaned oil and gas wells. The program would include the restoration of native species’ habitats that have been degraded due to the presence of orphaned wells and associated infrastructure. The bill also calls to consider the number of jobs created or saved through remediation projects, as well as oil and gas jobs lost, when reviewing applicants. The bill would provide a total of $30 million from 2021 to 2030.",https://cdrlaw.org/resources/h-r-3585-regrow-act-of-2021/,Proposed Legislation,CDR_NETS
H.R. 3522 – TREES Act of 2021,2021,"Environmental Justice,United States","This bill would direct the Secretary of Energy to establish a grant program that facilities trees planting to reduce residential energy consumptions. Grants would support nonprofits, retail power providers, and state, local, and tribal governments in projects that maximize energy and environmental justice benefits of added trees. The bill would authorize $50 million in annual appropriations for this grant program.",https://cdrlaw.org/resources/h-r-3522-trees-act-of-2021/,Proposed Legislation,CDR_NETS
S. 1458 – Cover Crop Flexibility Act of 2021,2021,United States,This bill would amend the Federal Crop Insurance Act to support and de-risk the adoption of cover cropping. It would direct USDA to study how cover crops affect crop risk and allow USDA to include cover crop seed costs when calculating insurance premium payments to farmers affected by natural disaster. The bill would also remove insurance restrictions on grazing or harvesting cover crops.,https://cdrlaw.org/resources/s-1458-cover-crop-flexibility-act-of-2021/,Proposed Legislation,CDR_NETS
S.1356 – Healthy Soils Healthy Climate Act,2021,United States,"This bill would create a permanent soil health program within EQIP that provides $100 million to producers who adopt practices that sequester carbon, prioritizing underserved farmers. The bill also establishes a Soil Health and Carbon Science Research Program at Agriculture Research Stations (ARS) that would provide funds to land grant colleges and universities for advanced soil carbon research.",https://cdrlaw.org/resources/s-1356-healthy-soils-healthy-climate-act/,Proposed Legislation,CDR_NETS
SB 308: California Net Zero Greenhouse Gas Emissions Goal Bill,2024,,"The core aim of SB 308 is to create predictable, long-term and escalating demand for carbon dioxide removal through amending California’s Health and Safety Code. The bill intends for major emitters of carbon dioxide to remove and store carbon dioxide that cannot otherwise be eliminated, either through developing their own carbon removal projects or through other entities. SB 308 has been put on a gradual timeline, building up to requiring 100% of remaining emissions to be removed and stored by 2045. The scope for CDR activities is quite wide, where the bill states that “The carbon dioxide process may remove carbon from the atmosphere directly or indirectly, including by direct air capture or using carbon stored in biomass or soil or absorbed in water.”To effectuate the regulations proposed, the bill provides the California Air and Resources Board (CARB) the power to use existing regulations and create new ones. CARB was also empowered to verify and enforce the carbon dioxide removal processes. However, the bill does not provide for who would pay for the removal processes, nor does it specify liability for failing to abide by the bill.The bill also seeks to establish environmental and social safeguards. For example, in cases where carbon removal is effectuated via biomass, it would require that the feedstock be sourced from residues or waste products. Further, risks local to communities adjacent to CDR activities are to be minimized and conducted only after “meaningful community engagement“.",https://cdrlaw.org/resources/sb-308-california-net-zero-greenhouse-gas-emissions-goal-bill/,Proposed Legislation,CDR_NETS
Executive Actions to Ensure Safe and Responsible Ocean Carbon Dioxide Removal Research in the United States,2023,"Marine Sequestration,United States","This paper presents recommended actions that federal agencies could take, under existing law, to ensure safe and responsible permitting and regulation of ocean carbon dioxide removal (CDR) research in U.S. waters. Controlled field trials and other in-ocean research is critical to improve scientific and societal understanding of ocean CDR techniques that could help the U.S. reach its climate goals. That could raise a host of legal issues, however. Existing legal frameworks were not designed to regulate ocean CDR, and federal agencies have yet to fully explain how decades-old environmental laws will be applied to a new set of activities. This paper recommends several actions federal agencies could take to provide greater legal clarity and advance safe and responsible permitting and regulation of ocean CDR. They include actions aimed at enhancing interagency coordination, improving environmental review and stakeholder engagement, and clearly defining the application of existing law to ocean CDR activities.",https://cdrlaw.org/resources/executive-actions-to-ensure-safe-and-responsible-ocean-carbon-executive-actions-to-ensure-safe-and-responsible-ocean-carbon-dioxide-removal-research-in-the-united-states-dioxide-removal-research-in-th/,Policy Proposal,CDR_NETS
S. 2475 – Energy Sector Innovation Credit Act of 2021,2021,United States,"This bill would establish a flexible tax credit for carbon capture equipment investors and producers. The credit would be available to direct air capture facilities that meet an annual carbon capture requirement of 5,000 metric tons. The investment tax credit for DAC would be eligible to stack with a 45Q credit for non-EOR geologic storage projects. The legislation intends to phase out subsidy support for these technologies as they scale their physical and market impact.",https://cdrlaw.org/resources/s-2475-energy-sector-innovation-credit-act-of-2021/,Proposed Legislation,CDR_NETS
H.R. 2757 – The Climate Agricultural Conservation Practices Act,2021,United States,"This bill would require Natural Resource Conservation Service (NRCS) to consider climate benefits including emissions reductions, carbon sequestration, and other resilience benefits when developing conservation practice standards.",https://cdrlaw.org/resources/h-r-2757-the-climate-agricultural-conservation-practices-act/,Proposed Legislation,CDR_NETS
S. 2836 – America’s Revegetation and Carbon Sequestration Act of 2021,2021,"Building with Biomass,United States","This bill would support management practices that increase resilience and soil carbon sequestration on US forests and rangelands. The bill would create a national revegetation strategy driven by regional revegetation task forces over the next 10 years, with special attention to bolstering nursery and seed capacity. It would also incentivize practices to reduce wildfire risk through a voluntary carbon credit system and support expanded RDD&D on innovative wood products like cross laminated timber (CLT) and biochar. The bill also includes provisions to improve Tree Equity in urban areas and to create a pilot program that restores ecosystems on abandoned mine lands.",https://cdrlaw.org/resources/s-2836-americas-revegetation-and-carbon-sequestration-act-of-2021/,Proposed Legislation,CDR_NETS
S. 2118 – Clean Energy for America Act,2021,"Enhanced Oil Recovery,United States","This bill would modify the Section 45Q carbon dioxide sequestration tax credit by authorizing the direct payment of credits and removing minimum carbon thresholds to incentivize smaller projects. The bill would also make enhanced oil recovery ineligible after 2026, increase the credit amount for DAC facilities to $175 per ton for secure geologic storage and $150 for utilization, set a minimum wage requirement based on DOL standards, and require that 15% of total labor for constructing a credit-eligible facility be performed by qualified apprentices.",https://cdrlaw.org/resources/s-2118-clean-energy-for-america-act/,Proposed Legislation,CDR_NETS
S. 1608 – Sustainable Aviation Fuel Act,2021,United States,"This bill would support markets for aviation fuels with low carbon intensity through tax credits and DOD procurement. Qualified feedstocks include carbon sourced from DAC, BECCS, and other non-petrochemical origins.",https://cdrlaw.org/resources/s-1608-sustainable-aviation-fuel-act/,Proposed Legislation,CDR_NETS
H.R. 3220 – RENEW Conservation Corps Act,2021,"Environmental Justice,United States","This bill would establish a Restore Employment in Natural and Environmental Work (RENEW) Conservation Corps within the Department of Interior and U.S. Department of Agriculture. The new corps program would employ 1 million Americans in conservation and green infrastructure across the US, including tree-planting, forest and fire management, wetland restoration, and urban agriculture projects. The bill would authorize $55.8 billion over 5 years to run the program, with provisions to ensure fair wages, diverse local workforces, and equitably distributed climate resilience benefits.",https://cdrlaw.org/resources/h-r-3220-renew-conservation-corps-act/,Proposed Legislation,CDR_NETS
S. 2377 – Energy Infrastructure Act,2021,United States,"This bill would establish and fund a grant program for the procurement and utilization of carbon-derived products. State and local governments and public utilities would be eligible. This bill would also establish and fund a carbon capture technology program for front-end engineering, funding the design of carbon transport infrastructure and a loan program to support its development. The legislation would expand large-scale carbon storage commercialization and address feasibility, site characterization, permitting, and construction. Also included: funding for the EPA to permit Class VI wells and award grants for their permitting at the state level, funding for the development of four regional DAC hubs, and a DAC technology prize for pre-commercial and commercial projects.",https://cdrlaw.org/resources/s-2377-energy-infrastructure-act/,Proposed Legislation,CDR_NETS
