Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
Decreto Nº 6898 – Por el cual se dispone la aplicación de aranceles a la importación de bienes de los sectores automotriz y azucarero originarios del Mercosur y se abroga el Decreto Nº 6654 del 30 de diciembre de 2016 y sus decretos modificatorios.,2022,Paraguay,"El presente Decreto tiene por objeto consolidar en un solo instrumento normativo las disposiciones arancelarias aplicables a los bienes originarios de los Estados Partes del Mercosur de los sectores automotriz y azucarero. Respecto del azúcar, se dispone la aplicación de los niveles arancelarios a la importación de los bienes originarios de los Estados partes del Mercosur (intrazona) listados en el Anexo III de este Decreto.",https://www.ecolex.org/details/legislation/decreto-no-6898-por-el-cual-se-dispone-la-aplicacion-de-aranceles-a-la-importacion-de-bienes-de-los-sectores-automotriz-y-azucarero-originarios-del-mercosur-y-se-abroga-el-decreto-no-6654-del-30-de-diciembre-de-2016-y-sus-decretos-modificatorios-lex-faoc211950/?type=legislation&xsubjects=Mineral+resources&page=137,"Agricultural & rural development, Food & nutrition",Regulation,"International trade, Tax/levy, Sugar","Americas, Landlocked Developing Nations, Latin America and the Caribbean, South America",,ECOLEX_Legislation
"Decree March 31, 2022. Identification of National Centers for the Study and Conservation of Forest Biodiversity.",2022,Italy,This decree identifies the National centers for the study and conservation of forest biodiversity this decree identifies the National Centers for the study and conservation of forest biodiversity.,https://www.ecolex.org/details/legislation/decree-march-31-2022-identification-of-national-centers-for-the-study-and-conservation-of-forest-biodiversity-lex-faoc213203/?type=legislation&xsubjects=Mineral+resources&page=137,Forestry,Regulation,"Biodiversity, Data collection/reporting, Ecosystem preservation, Genetic resources, Procedural matters, Protection forest, Protection of species, Forest management/forest conservation","Alps, Europe, Europe and Central Asia, European Union Countries, Mediterranean, Southern Europe",,ECOLEX_Legislation
Resolución 80/2022 - Aprueba las Normas sobre la importación y exportación de metales preciosos y piedras preciosas por personas jurídicas.,2022,Cuba,"Esta disposición jurídica tiene como objeto regular la importación y exportación de metales preciosos y piedras preciosas por parte de personas jurídicas cubanas o extranjeras. A los efectos de esta Resolución se consideran: Metales preciosos: el oro y la plata, en forma bruta, semilabrada y en polvo. Piedras preciosas: el diamante, el zafiro, el rubí y la esmeralda, en forma bruta, tallada y sin engarzar. La importación de metales preciosos y piedras preciosas por personas jurídicas, en las formas antes descritas, es libre, siempre que su destino se corresponda con el objeto social autorizado y se cumplan los requisitos y formalidades aduaneras, sin perjuicio de las demás autorizaciones que correspondan, según lo establecido en la legislación vigente. La importación y exportación de piezas desmonetizadas y de especímenes nacionales o extranjeros con carácter numismático, están sometidas a las regulaciones específicas dictadas al efecto.",https://www.ecolex.org/details/legislation/resolucion-802022-aprueba-las-normas-sobre-la-importacion-y-exportacion-de-metales-preciosos-y-piedras-preciosas-por-personas-juridicas-lex-faoc213582/?type=legislation&xsubjects=Mineral+resources&page=137,Mineral resources,Regulation,"International trade, Minerals, Use restrictions","Americas, Caribbean, Latin America and the Caribbean, North Atlantic, Small Island Developing States",La presente Resolución entra en vigor a los treinta días posteriores a la fecha de su publicación en la Gaceta Oficial de la República de Cuba.,ECOLEX_Legislation
Decision on adoption of the Programme for energy renovation of public sector buildings for the period until 2030.,2022,Croatia,"This Decision proclaims the adoption off the Croatian Programme for energy renovation of public sector buildings for the period until the year 2030. Co-financing and implementation of this Programme will be provided from the funds of the European Structural and Investment Funds for the new financial period 2021-2027 and from the Mechanism for Recovery and Resilience through the National Recovery and Resilience Plan 2021-2026 and from the funds of various financial institutions and their own user participation. The Ministry of Spatial Planning, Construction and State Property is responsible for publishing the Program on its website (the text of the Programme is here attached).",https://www.ecolex.org/details/legislation/decision-on-adoption-of-the-programme-for-energy-renovation-of-public-sector-buildings-for-the-period-until-2030-lex-faoc216636/?type=legislation&xsubjects=Mineral+resources&page=137,Energy,Regulation,"Energy conservation/energy production, Financing, Policy/planning, Renewable energy, Sustainable development, Sustainable use","Europe, Europe and Central Asia, European Union Countries, Mediterranean, Southern Europe",This text entered into force on 31 March 2022.,ECOLEX_Legislation
"Village Councils (Amendment) Act, 2022 (No. 10 of 2022).",2022,Belize,This Act amends the Village Councils Act so as to provide differently for election and resignation procedures of Village Council officers and to define powers of the Deputy Chairperson of the Council.,https://www.ecolex.org/details/legislation/village-councils-amendment-act-2022-no-10-of-2022-lex-faoc219219/?type=legislation&xsubjects=Mineral+resources&page=137,General,Legislation,"Local government, Legal proceedings/administrative proceedings","Americas, Central America, Latin America and the Caribbean, Small Island Developing States",,ECOLEX_Legislation
Environmental Protection and Management (Greenhouse Gases) Regulations 2022.,2022,Singapore,These Regulations are formulated in accordance with  the Environmental Protection and Management Act 1999.,https://www.ecolex.org/details/legislation/environmental-protection-and-management-greenhouse-gases-regulations-2022-lex-faoc222098/?type=legislation&xsubjects=Mineral+resources&page=137,"Air & atmosphere, Environment gen.",Regulation,"Emissions, Protection of environment, Climate change","Asia, Asia and the Pacific, East Asian Seas, Small Island Developing States, South-Eastern Asia",,ECOLEX_Legislation
Decree-Law No. 17 of 2022 amending Decree-Law No. 13 of 2009 regarding the General Electricity Law and amendments.,2022,Palestine,"This Decree-Law introduces amendments to the Electricity Law of 2009. Specifically, it includes (i) the addition of a paragraph in Article 19, expanding the responsibilities of the Transport Agency to include establishing parameters for linking entities licensed in electricity distribution and generation from renewable or traditional sources; (ii) the inclusion of paragraphs in Article 27, allowing electricity distribution companies to form agreements with both traditional and renewable energy-generating firms. The national transmission network can be used for electricity transmission between generation and distribution companies, contingent on a transmission tariff approved by the Council of Ministers. Moreover, the transportation company, under the Council of Ministers' decision, gains the authority to purchase electrical energy from traditional or renewable sources. All agreements are contingent on compliance with the transport company's conditions, approval from the Council of Ministers based on the transport company's recommendation, and administrative and technical supervision by the transportation company, with reports submitted to the Council of Ministers; (iii) modifications to Article 28, addressing the relationship between the Energy Authority and licensed renewable energy facilities.",https://www.ecolex.org/details/legislation/decree-law-no-17-of-2022-amending-decree-law-no-13-of-2009-regarding-the-general-electricity-law-and-amendments-lex-faoc222174/?type=legislation&xsubjects=Mineral+resources&page=137,Energy,Legislation,"Energy conservation/energy production, Business/industry/corporations, Renewable energy, Transport/storage, Legal proceedings/administrative proceedings","Asia, Mediterranean, Middle East, Western Asia",This Decree-Law enters into force on te date of its publication in the Official Gazette.,ECOLEX_Legislation
Ministerial Decree of 31 March 2022 concerning the identification of National Centers for the study and conservation of forest biodiversity.,2022,Italy,"The Decree gives implementation to Art. 13 (3) of the Legislative Decree 3 April 2018 No. 34, and provides for the establishment of the National Centers for the study and conservation of forest biodiversity. The Decree provides as well for the functions of the Centers; these encompass: conservation of species and forest ecosystems important for the conservation of forest biodiversity; research and conservation of forest germplasm; monitoring and reporting on forest genetic resources.",https://www.ecolex.org/details/legislation/ministerial-decree-of-31-march-2022-concerning-the-identification-of-national-centers-for-the-study-and-conservation-of-forest-biodiversity-lex-faoc217618/?type=legislation&xsubjects=Mineral+resources&page=137,"Forestry, Wild species & ecosystems",Regulation,"Biodiversity, Forest management/forest conservation, Forest species, Genetic resources, Institution, Monitoring, Protection forest, Data collection/reporting, Ecosystem preservation","Alps, Europe, Europe and Central Asia, European Union Countries, Mediterranean, Southern Europe",,ECOLEX_Legislation
"Décret Présidentiel n° 2022-299 du 28 mars 2022, portant extension de la durée de validité des accords de principe accordés aux projets de production d'électricité à partir d'énergies renouvelables dans le cadre du régime d'autorisation avant le 31 décembre 2020.",2022,Tunisia,Le présent décret fixe une extension de vingt (20) mois supplémentaires de la validité des accords de principe accordés aux projets de production d'électricité à partir d'énergies renouvelables dans le cadre du régime d'autorisation avant le 31 décembre 2020. Ce décret précise que cette extension est accordée en vertu d’un arrêté du ministre chargé de l’énergie sur avis conforme de la commission technique de production privée d’électricité à partir des énergies renouvelables et que toute demande d’extension est obtenue en déposant une demande écrite à cet effet. Cette demande doit être accompagnée de toutes les pièces et les éléments motivant l’extension sollicitée.,https://www.ecolex.org/details/legislation/decret-presidentiel-n-2022-299-du-28-mars-2022-portant-extension-de-la-duree-de-validite-des-accords-de-principe-accordes-aux-projets-de-production-delectricite-a-partir-denergies-renouvelables-dans-le-cadre-du-regime-dautorisation-avant-le-31-decembre-2020-lex-faoc208842/?type=legislation&xsubjects=Mineral+resources&page=137,Energy,Regulation,"Energy conservation/energy production, Renewable energy","Africa, Mediterranean, Near East and North Africa, Northern Africa",,ECOLEX_Legislation
Arrêté interministériel du 27 Chaâbane 1443 correspondant au 30 mars 2022 portant adoption du règlement technique fixant les spécifications techniques des fromages et des spécialités fromagères.,2022,Algeria,"Le présent arrêté a pour objet d’adopter le règlement technique fixant les spécifications techniques des fromages et des spécialités fromagères, et cela, en application des dispositions de l’article 28 du décret exécutif n° 05-464 du 6 décembre 2005. On y trouve une définition du mot fromage ainsi toutes les variantes dérivées de cet aliment. Cet arrêté présente de manière détaillée les caractéristiques auxquels doivent répondre certains produits définis à l’article 3 du présent arrêté ainsi que les matières premières utilisées dans la fabrication des produits. L’annexe : caractéristiques auxquelles doivent répondre certains produits.",https://www.ecolex.org/details/legislation/arrete-interministeriel-du-27-chaabane-1443-correspondant-au-30-mars-2022-portant-adoption-du-reglement-technique-fixant-les-specifications-techniques-des-fromages-et-des-specialites-fromageres-lex-faoc210061/?type=legislation&xsubjects=Mineral+resources&page=137,"Food & nutrition, General",Regulation,"Consumer protection, Hygiene/sanitary procedures, Beverages, Classification/declassification, Food security, Milk/dairy products, Nutrition","Africa, Mediterranean, Near East and North Africa, Northern Africa",,ECOLEX_Legislation
Landlord and Tenant (Amendment) Act 2022 (No. 1 of 2022).,2022,Mauritius,"This Act amends the Landlord and Tenant Act: in section 3, subsection (2)(ab), by deleting the words “31 December 2021” and replacing them by the words “30 June 2022”, with a view to extending to 30 June 2022 the period up to which the Act shall continue to apply to business premises let on or before 1 July 2005.",https://www.ecolex.org/details/legislation/landlord-and-tenant-amendment-act-2022-no-1-of-2022-lex-faoc209798/?type=legislation&xsubjects=Mineral+resources&page=137,Land & soil,Legislation,"Land tenure, Lease, Legal proceedings/administrative proceedings","Africa, Eastern Africa, Indian Ocean, Small Island Developing States",,ECOLEX_Legislation
Decree No. 36 of the Ministry for Emergency Situations validating norms and rules to ensure nuclear and radiation safety.,2022,Belarus,"Norms and rules to ensure nuclear and radiation safety establish technical requirements for sources of ionizing radiation, radiation objects and their safe handling in terms of requirements to subcritical assembly design and systems important to safety of subcritical stand (PKS), including the implementation of organizational and technical measures aimed at ensuring the nuclear safety of the subcritical stand. These Rules apply to designed, constructed and operated subcritical stands, regardless of their type, with the exception of electronuclear ones of neutron generators, including a subcritical reactor unit, external source of neutrons in the form of a charged particle accelerator and neutron-producing targets. The nuclear safety of the subcritical reactor unit during operation is ensured by compliance with the requirements of legislative acts, including the requirements of mandatory to comply with technical regulations in the field of ensuring nuclear and radiation safety, subcritical stand design requirements and operational documentation. Norms and rules for ensuring nuclear and radiation safety “Rules for nuclear safety of nuclear research facilities"" establish technical requirements for sources of ionizing radiation, nuclear facilities and their safe handling in terms of general safety requirements during design (construction), placement, construction, commissioning, operation and decommissioning of nuclear research facilities.",https://www.ecolex.org/details/legislation/decree-no-36-of-the-ministry-for-emergency-situations-validating-norms-and-rules-to-ensure-nuclear-and-radiation-safety-lex-faoc223459/?type=legislation&xsubjects=Mineral+resources&page=137,Environment gen.,Regulation,"Radiation, Hazards, Risk assessment/management, Research, Enforcement/compliance","CIS (Commonwealth of Independent States), Eastern Europe, Europe, Europe and Central Asia",This Decree enters into force after its official publication.,ECOLEX_Legislation
Law of Georgia on Consumer Protection (No. 1455-VIIIMS-XMP),2022,Georgia,This Law provides to create the legal bases for consumer rights. It consists of eight chapters: General provisions (I); Main rights and obligations (II); Remote agreements and agreements outside of the place of business (III); Consumer agreement (IV); Unjust standard agreement terms (V); Unjust commercial activity (VI); Institutional guarantees for consumer protection (VII); and Transitional and final provisions (VIII).,https://www.ecolex.org/details/legislation/law-of-georgia-on-consumer-protection-no-1455-viiims-xmp-lex-faoc209926/?type=legislation&xsubjects=Mineral+resources&page=138,"Agricultural & rural development, Food & nutrition, General",Legislation,"Consumer protection, Contract/agreement, Business/industry/corporations","Asia, Black Sea, Eastern Europe, Europe, Europe and Central Asia, Western Asia",,ECOLEX_Legislation
"Real Decreto 218/2022, de 29 de marzo, por el que se modifica el Real Decreto 79/2019, de 22 de febrero, por el que se regula el informe de compatibilidad y se establecen los criterios de compatibilidad con las estrategias marinas.",2022,Spain,"El Real Decreto 79/2019, de 22 de febrero, por el que se regula el informe de compatibilidad y se establecen los criterios de compatibilidad con las estrategias marinas tenía por objeto establecer los criterios de compatibilidad con las estrategias marinas de las actuaciones sujetas a su ámbito de aplicación, así como el procedimiento de emisión del informe de compatibilidad con las estrategias marinas. Los criterios de compatibilidad son las características técnicas, umbrales o elementos de juicio utilizados para valorar si las actuaciones son compatibles con la consecución de los objetivos ambientales de la estrategia marina correspondiente.",https://www.ecolex.org/details/legislation/real-decreto-2182022-de-29-de-marzo-por-el-que-se-modifica-el-real-decreto-792019-de-22-de-febrero-por-el-que-se-regula-el-informe-de-compatibilidad-y-se-establecen-los-criterios-de-compatibilidad-con-las-estrategias-marinas-lex-faoc210035/?type=legislation&xsubjects=Mineral+resources&page=138,"Environment gen., Sea, Water",Regulation,"Marine pollution, Sustainable development, Institution, Ecosystem preservation, Coastal zone management, Management/conservation, Environmental planning, Effluent waste water/discharge, Environmental standards, Policy/planning, Standards, Protection of environment, Basin/catchment/watershed, Water quality standards, Freshwater pollution, Pollution control, Inland waters","Europe, Europe and Central Asia, European Union Countries, Mediterranean, North Atlantic, North-East Atlantic, Southern Europe",,ECOLEX_Legislation
