Policy,Year,Country,Policy_Content,URL,Scope,Allocation,Sectoral coverage,GHGs covered,Offsets credits,Cap,Source
China National ETS,2021,China,"China’s national ETS began operating in 2021, with the objective of contributing to the effective control and gradual reduction of CO 2 emissions. China’s national ETS is the world’s largest in terms of covered emissions, estimated to cover around 8 billion tCO 2 – or more than 60% of the country’s CO 2 emissions. The China national ETS regulates more than 3,500 companies from the power, steel, cement, and aluminum smelter sectors with annual emissions in excess of 26,000 tCO 2 . Covered entities must surrender allowances for all their covered emissions. The allowances in the China national ETS are 100% freely allocated using an output-based approach. Compliance obligations are currently limited and vary between different types of facilities. The system’s coverage will expand to other sectors over time. In January 2024, China launched its national GHG voluntary emission reduction trading market, the Chinese Certified Emissions Reduction scheme (CCER). This came after six years of suspension, during which time it was undergoing reform. This reform could contribute to the implementation of an offsetting scheme in the domestic ETS (see ‘Offset Credits’ section). The national ETS builds on the successful experience of regional carbon markets implemented in seven regions. These pilots continue to operate in parallel with the national ETS, covering sectors and entities not included in the national system.",https://icapcarbonaction.com/en/ets_system/55,National,Free Allocation (Output-based Benchmarking),"Industry, Power","CO2, CF4 and C2F6 (only for aluminum smelter sector)",Domestic (national) with quantitative limits,"~8,000 MtCO2 (2024)",ICAP
Colombia National Program of Tradable Greenhouse Gas Emission Quotas,,Colombia,"In 2018, Colombia adopted a law for climate change management (“Climate Change Law”, Ley de Cambio Climático ), which outlines basic provisions for the establishment of an ETS, or the “National Program of Tradable GHG Emission Quotas” ( Programa Nacional de Cupos Transables de Emisión de Gases de Efecto Invernadero – PNCTE). Non-compliance is to be punishable by a fine of up to double the auction price. Auction revenues, as updated by Article 262 of Law 2294 of 2023, will now be allocated to the “Fund for Life and Biodiversity” (formerly the “Fund for Sustainability and Climate Resilience”). These resources are designated for purposes set by the national carbon tax, as well as for administering the PNCTE and the Mandatory Emissions Report under Law 2169 of 2021 (the “Climate Action Law”, Ley de Acción Climática ). The Climate Change Law also includes crediting provisions: voluntary actions of non-regulated entities that generate GHG emissions reductions or removals may be issued allowances if they are verified, certified, and registered in the National Emission Reductions Registry ( Registro nacional de reducción de emisiones de GEI – Renare), and deemed eligible for the program. On September 2024, the Colombian government opened a public consultation on the Decree for the regulation of the PNCTE. According to the consultation document, the PNCTE would have several phases leading to full implementation of the system in 2030. Minambiente would publish the cap annually, and the caps of the introductory period (2025 to 2030) would be in line with the NDC goal of emitting a maximum of 169.44 MtCO 2 e in 2030. Minambiente would also be in charge of determining covered entities and emissions, as well as allocation methods; auctioning is expected to be the main method. Banking of allowances would be allowed within the same implementation phase. The draft Decree proposes a reference price for allowances equal to the carbon tax rate and specifies that Minambiente may define a starting auction price. Monitoring periods would be one calendar year. The draft Decree would establish the preliminary phase in accordance with the graduality principle of the PNCTE. The objectives of the preliminary phase would be to test and adjust the operational rules of the PNCTE, generate information to evaluate the design elements of the system, contribute to the achievement of the mitigation goals, and identify opportunities for improvement before the start of the second phase. The 2021 Climate Action Law sets a goal to fully implement the ETS by 2030, as well as an obligation for legal persons to report direct and indirect GHG emissions, following criteria to be set by Minambiente.",https://icapcarbonaction.com/en/ets_system/92,National,,,,,,ICAP
Dominican Republic,,Dominican Republic,"The Dominican Republic, through the National Council for Climate Change and Clean Development Mechanism (CNCCMDL) and in collaboration with the RCC Caribbean, has achieved significant milestones under the Collaborative Instruments for Ambitious Climate Action (CIACA) initiative for carbon pricing evaluation and implementation. This effort was incorporated into the Dominican Republic’s 2020 NDC, as an element that will contribute to the development of mitigation actions supported by national and international technical assistance (2015 to 2020). One key achievement was the creation of a Roadmap for Designing an Emissions Trading System (ETS) in the Dominican Republic in 2020, followed by a simulation exercise involving key national stakeholders in November 2023. Building on the roadmap’s recommendations, the CIACA initiative is now supporting the CNCCMDL in designing a pilot ETS. In June, the RCC Caribbean published terms of reference for consultancy services to develop this pilot plan. The pilot design includes the following components: define emissions, sectors, and facilities to be included, and establish a cap aligned with the Dominican Republic’s NDC targets; design an allowance allocation process and draft a framework for using offsets, considering economic impacts and eligibility criteria; develop compliance mechanisms and ensure stakeholder involvement throughout the pilot’s design; and prepare a comprehensive report detailing design decisions, impacts, and implementation plans, followed by a validation workshop in the Dominican Republic.",https://icapcarbonaction.com/en/ets_system/137,National,,,,,,ICAP
UK Emissions Trading Scheme,2021,United Kingdom,"The UK Emissions Trading Scheme (UK ETS) began operating in January 2021, following the departure of the UK (excluding power operators located in Northern Ireland) from the EU ETS. Verified emissions from stationary UK ETS operators currently account for around a quarter of the UK’s territorial GHG emissions. The first phase of the UK ETS runs until 2030. The UK ETS covers around 1,000 installations in the power and industrial sectors, as well as around 400 aircraft operators. Aviation activity covered includes flights within the UK as well as flights departing the UK to the European Economic Area (EEA) and Switzerland. Covered installations and aircraft operators must surrender allowances for all their covered emissions. Allowances are allocated primarily through auctioning, with a portion freely allocated to mitigate the risk of carbon leakage. The system has both a cost containment mechanism (CCM) and an auction reserve price, to support market stability. The UK ETS cap is consistent with the UK’s target of achieving net zero by 2050. In December 2023, the UK Government published the long-term pathway for the UK ETS, outlining its continuation until at least 2050, in alignment with net-zero targets. The document includes a workplan for consultations on expanding the scheme to waste incineration and energy from waste, domestic maritime, and GHG removals, as well as a framework for potentially including more high-emitting sectors.",https://icapcarbonaction.com/en/ets_system/99,National,"Free allocation (Fixed Benchmarking), Auctioning","Mining and extractives, Domestic Aviation, Industry, Power","CO2, N2O, PFCs",Not allowed,86.7 MtCO2e (2025),ICAP
"EU Emissions Trading System for buildings and road transport (""EU ETS 2"")",,Austria,"In July 2021, the European Commission proposed the “Fit for 55” package of reforms to align EU climate and energy policy with the objectives of the “European Green Deal”, most importantly the ambitious 2030 climate target of reducing net emissions to at least 55% below the 1990 level. The package included important amendments to the EU ETS framework, including a proposal to extend emissions trading to new sectors. A new, separate emissions trading system (ETS 2) will be established for emissions from fuels used for combustion in buildings, road transport and additional sectors (mainly small industry not covered by the existing EU ETS). The ETS 2 will complement other policies of the European Green Deal in the covered sectors, helping Member States achieve their emission reduction targets under the “Effort Sharing Regulation” (Regulation (EU) 2018/842). The ETS 2 is based on the ‘cap-and-trade’ principle. It will cover emissions upstream, meaning the obligation to surrender allowances will fall on the fuel suppliers rather than end-consumers. The ETS 2 cap will be set to bring emissions down by 42% by 2030 compared to 2005 level. The ETS 2 is due to become fully operational in 2027 (but may be delayed until 2028 in the event of exceptionally high energy prices). As a first step, the monitoring and reporting of emissions from the covered sectors starts in 2025. Allowances in the ETS 2 will be distributed exclusively via auctioning. In 2027, an additional auction volume will be front-loaded to ensure a smooth start of the system. The ETS 2 will also operate with a dedicated, rule-based market stability reserve to mitigate insufficient or excessive supply of allowances to the market. The ETS 2 also has an opt-in option, allowing Member States to unilaterally extend the system to sectors not covered by the Directive in their jurisdiction (such as fuel use in agriculture and forestry) with the Commission's approval. In 2024, the Commission adopted delegated acts to approve individual requests for extension. A share of revenues from the ETS 2 will be used to support vulnerable households and micro-enterprises through a dedicated Social Climate Fund, created as part of the “Fit for 55” package. Member States will be required to use the remaining ETS 2 revenues for climate action and social measures. The full transposition of the provisions for the new system into EU Member States' law was required for mid-2024. As several countries have yet to finalize the transposition, the Commission is actively collaborating with Member States to support and ensure completion of this process.",https://icapcarbonaction.com/en/ets_system/118,National,,"Transport, Buildings",CO2,,,ICAP
German National Emissions Trading System,2021,Germany,"Germany launched its national ETS (nETS, Nationales Emissionshandelssystem ) for heating and transport fuels in 2021. With the introduction of the nETS, a wide range of sectors in Germany are now subject to a carbon price. The nETS covers all fuel emissions not covered by the EU ETS. It is being phased in gradually, with an increasing fixed price per tCO 2 from 2021 to 2025. In 2026, auctions with minimum and maximum prices will be introduced. All main fuel types (gasoline, diesel, heating oil, natural and liquid gases) have been covered from the outset, while solid fuels such as coal have been included in 2023 and the incineration of waste in 2024. During the fixed price and price corridor phases, the cap is flexible. Covered entities must surrender allowances for all their covered emissions, and allocation is based on auctions. The nETS was established through the 2019 “Fuel Emissions Trading Act”, which was amended in 2020, 2022 and again in 2023. It forms part of the “Climate Action Program 2030”, a package of measures adopted by the German Federal Cabinet to reach the country’s 2030 climate targets and aim for climate neutrality by 2045.",https://icapcarbonaction.com/en/ets_system/108,National,Fixed price until 2025. Price corridor foreseen for 2026,"Agriculture and/or forestry fuel use, Waste, Transport, Buildings, Industry",CO2,Not allowed,"260 MtCO2 (2025) - In the introductory phase, with fixed price or price corridor, the cap is flexible",ICAP
Indian Carbon Credit Trading Scheme,,India,"The government of India introduced an amendment to the “Energy Conservation Act, 2001”, providing a legal basis for the establishment of a Carbon Credit Trading Scheme (CCTS) and issuance of carbon credit certificates (CCCs). The amendment bill, incorporating these provisions, was passed in the Lower House ( Lok Sabha ) in August 2022, adopted, and subsequently passed in the Upper House ( Rajya Sabha ) in December 2022. The amendment bill provides the legal basis to establish an Indian carbon market (ICM) and grants the power to issue CCCs for the reduction of emissions. Following passage of the amendment, the government began work on the institutional and regulatory framework for the CCTS. The draft notification was published for stakeholder consultation in March 2023. Based on received comments, the notification was revised and officially issued in June 2023. This notification established an institutional framework, including the National Steering Committee for the Indian Carbon Market (NSCICM), tasked with overseeing the ICM framework. Additionally, roles and responsibilities of the administrator, technical committee, and other stakeholders were defined. CCCs (denominated in 1 tCO 2 e) will be issued or surrendered based on performance against emission intensity targets for covered entities. In July 2024, the government adopted detailed regulations for the compliance mechanism under the CCTS. It will take the form of an intensity-based baseline-and-credit system, initially covering entities from nine energy-intensive industrial sectors (see ‘Sectors and Thresholds’ section) . Covered entities will receive an emissions intensity target covering a six-year trajectory period, notified by the Ministry of Environment, Forest and Climate Change (MoEFCC) and denominated in tCO 2 e per unit of product. New targets will be announced every three years, to enable longer-term planning for covered entities. If a covered entity overachieves its emissions intensity target, it can earn CCCs based on the difference between the achieved and the targeted emissions intensity. Entities that fail to achieve their targets will have to surrender/purchase a corresponding number of CCCs to ensure compliance; this will be achieved by facilitating trading among the covered entities on a registry/trading platform. Applying a “gate-to-gate” approach to cover the emissions along the entire value chain, the scope of the CCTS will include both direct emissions from fuel combustion and industrial processes, and indirect emissions from electricity and heat consumption (Scope 1 and 2). In addition, some Scope 3 emissions will also be considered (import and export of intermediary products). It will initially cover CO 2 , and perfluorocarbons (PFCs). The CCTS will be based on the existing Perform, Achieve and Trade (PAT) scheme – a mandatory energy efficiency scheme covering more than 1,000 entities from 13 energy-intensive sectors – that will be gradually transitioned into a compliance carbon market. The compliance mechanism will utilize existing MRV guidelines and administrative infrastructure. A gradual transition from the current PAT scheme to the CCTS will begin in 2025, with the first nine industrial sectors being transitioned to the CCTS from FY2026. The baseline emissions level for these nine sectors will be determined using 2023-2024 emissions data, which will be used to determine obligated entities’ targets under the CCTS. The compliance mechanism will be complemented by a voluntary domestic crediting mechanism that will allow non- covered entities to register eligible projects for GHG emission reduction, removal, or avoidance for the issuance of CCCs. This component of the CCTS aims to incentivize emission reductions in sectors outside of the compliance market and to increase market liquidity, encompassing a comprehensive approach for GHG reduction. The compliance mechanism will be jointly managed by the Ministry of Power, the MoEFCC, and the Bureau of Energy Efficiency (BEE), acting as administrator of the scheme.",https://icapcarbonaction.com/en/ets_system/125,National,Free Allocation: Output-based Benchmarking,Industry,"CO2, PFCs",,,ICAP
Indonesian Economic Value of Carbon (Nilai Ekonomi Karbon) Trading Scheme,,Indonesia,"Indonesia’s Economic Value of Carbon, or Nilai Ekonomi Karbon (NEK), Trading Scheme is a mandatory, intensity-based ETS for the power sector that was launched in early 2023. In its first phase spanning from 2023 to 2024, it exclusively targeted coal-fired power plants connected to the Perusahaan Listrik Negara (PLN) grid with a capacity of 25 MW or greater. In 2023, the ETS covered 99 coal-fired power plants, estimated to represent around 37% of the national power generation capacity or around 67.6% of the national coal-fired power plant capacity. In 2024, 47 additional coal-fired power plants were covered under the ETS, bringing the total number of covered installations in the scheme to 146. The Indonesian government has established intensity targets, known as “Technical Emissions Ceiling Approvals”, or Persetujuan Teknis Batas Atas Emisi (PTBAE). These targets determine the number of allowances that installations receive for each MWh of electricity generated. Covered entities must surrender allowances for all their covered emissions, with allocation based on PTBAE, emission intensity, and emission average. Additionally, entities have the option to purchase allowances via auctions. The majority of the plants covered by the ETS are operated by the state-owned electricity company PLN. The government anticipates a reduction of approximately 25.73 MtCO 2 e through the ETS in its first year. Eventually, the Indonesia ETS is expected to function as a hybrid “cap-tax-and-trade” system, operating concurrently with a carbon tax. Facilities failing to meet their obligations under the ETS will be subject to this tax, the rate of which will be aligned with the domestic carbon market’s price. The Indonesian Carbon Exchange (IDXCarbon) was officially launched in September 2023, under the supervision of the Financial Services Authority of Indonesia ( Otoritas Jasa Keuangan , OJK).",https://icapcarbonaction.com/en/ets_system/104,National,Free Allocation (Output-based Benchmarking),Power,"CO2, CH4 and N2O",Domestic,~ 256.8 MtCO2e in 2024,ICAP
Japan GX-ETS,,Japan,"Japan combines several carbon pricing instruments to help meet net zero emissions by 2050: an existing carbon tax, a voluntary ETS (GX-ETS) that will evolve into a mandatory ETS from 2026, and a carbon levy (GX-Surcharge) to be introduced from 2028. Plans for this are outlined in the Basic Plan for the “Green Transformation (GX) Policy”, Japan’s ten-year decarbonization strategy. The GX-ETS started as a voluntary baseline-and-credit system during its first phase 2024 to 2025. More than 700 companies, accounting for more than 50% of national emissions, participate. Under the GX-ETS, J-Credits (see below) are traded on the Tokyo Stock Exchange. The GX-ETS is expected to transition to a mandatory ETS from FY2026 after its first compliance deadline. Upper and lower price limits are planned to be introduced. From FY2033, auctioning will be introduced for high-emitting entities in the power sector. A study group was established to clarify legal and regulatory aspects of the GX-ETS, including free allocation, auctioning, and cap setting. Separately, a carbon levy (GX-Surcharge) will be introduced from FY2028 on fossil fuel importers and domestic fossil fuel extractors . Japan is actively participating in international carbon markets. Its Joint Crediting Mechanism (JCM) is a bilateral scheme to incentivize decarbonizing technologies and mitigation actions in 28 partner countries. JCM credits will also be eligible for use in the GX-ETS. Separately, over 100 countries and organizations have joined Japan’s global capacity-building initiative, the Article 6 Implementation Partnership.",https://icapcarbonaction.com/en/ets_system/69,SubNational,,,CO2,"JCM credits and J-Credits will be allowed, details are under development.",,ICAP
Malaysia,,Malaysia,"The Malaysian Ministry of Environment and Water (KASA) published the “National Guidance on International Voluntary Market Mechanisms” in 2021, which indicated its intent to participate in international voluntary carbon markets (VCM) and to establish a domestic ETS in the future. The Malaysian Cabinet endorsed KASA’s policy document and decided to introduce a carbon trading platform by starting with a VCM exchange and potentially a domestic ETS at a later stage. Bursa Carbon Exchange (BCX), the world’s first Shariah-compliant VCM platform, was launched in December 2022 and trading commenced in March 2023. Malaysia’s ETS plans are also fueled by the country’s NDC commitments and net zero aspirations. It will also help to prepare industry players for international trade related instruments, such as the EU’s carbon border adjustment mechanism (CBAM), and support Malaysia’s low-carbon transition in the industrial sector. Since 2021, the Malaysian government has been engaging with state governments and the corporate sector to align relevant policies and regulation. As part of this process, the Malaysian government, in close cooperation with the World Bank, is conducting a feasibility study on carbon pricing instruments under the Malaysia Partnership for Market Implementation (MY PMI) program. The initial part of the study is looking into the implementation of carbon pricing instruments such as a carbon tax and an ETS in Malaysia, and is covering several key aspects such as policy and market design frameworks, national registry development, and alignment with international standards. As of January 2025, work on the initial part of the study was still ongoing. The next part of the study is expected to start in 2025 and will focus on ETS design and infrastructure development. At the sub-national level, in November 2023 the state of Sarawak passed a climate bill that includes provisions to introduce mandatory emissions thresholds for certain industrial emitters. Similar provisions are contained in a consultation paper for a “National Climate Change Bill”, published by the Ministry of Natural Resources and Environmental Sustainability (NRES) in October 2024. It mentions “the establishment of a Domestic Emissions Trading Scheme (ETS) which entails an emission threshold at the facility level that enables facilities to manage and trade their greenhouse gas emissions allowances, ensuring compliance with the set emission threshold, while promoting economic flexibility and incentivizing emission reductions”. If approved, it would provide the legal basis for the introduction of a domestic ETS in Malaysia. The draft bill is expected to be introduced to the Malaysian parliament in 2025.",https://icapcarbonaction.com/en/ets_system/119,National,,,,,,ICAP
Philippines,,Philippines,"In February 2025, the House of Representatives approved on 2 nd Reading the “Act Promoting Investments in Low Carbon Economy, Establishing for this Purpose a Carbon Emission Pricing Framework and Implementation Mechanism to Achieve Low Carbon and Climate-resilient Economic Development” (House Bill No. 11375). The Bill consolidates House Bill No. 7705 and House Bill No. 10633, two carbon pricing Bills introduced in the summer of 2024. House Bill No.11375 provides for a carbon pricing framework and implementation mechanism aimed at achieving national climate targets. The Bill mandates large emitters from the energy, transportation, industry, agriculture, forestry and waste sectors to develop decarbonization plans. The Climate Change Commission (CCC) would consolidate sectoral decarbonization pathways and determine annual allowance allocation plans for individual covered entities. Covered entities with emissions exceeding the annual allocation of emissions allowances, would have the following alternatives to cover the shortfall: (1) purchasing carbon allowances from other covered entities; (2) purchasing carbon credits from internationally recognised offset projects, including forestry, renewable energy, carbon capture and storage and methane reduction activities (3) contributing funds towards emissions reductions within their value chain, towards government-led climate initiatives, or towards decarbonization businesses, either independently or through pooled resources. The amount of funds to be allocated will be equivalent to the carbon price established by the CCC for each MtCO2e above the allowed limit. House Bill No. 11375 will be transmitted to the Philippine Senate after its passage on 3 rd Reading in the House of Representatives by June 2025. In parallel, the Department of Finance has convened a technical working group to evaluate the feasibility of implementing carbon pricing instruments in the country, supporting the legislative efforts to establish a comprehensive emissions reduction framework.",https://icapcarbonaction.com/en/ets_system/114,National,,,,,,ICAP
"Taiwan, China",,"Taiwan, Province of China","Taiwan, China, enacted the “Climate Change Response Act” (the Act) in 2023, which legislates reaching an economy-wide net-zero GHG emission target by 2050. The Act amends the 2015 “GHG Reduction and Management Act”, which stipulates that the Taiwanese Environmental Protection Administration (TEPA) will implement a domestic cap-and-trade scheme. Mandatory emissions reporting for entities with annual emissions above 25,000 tCO 2 e from certain sectors has been in place since 2014. The “2018 Regulations Governing GHG Offset Program Management” allows enterprises to acquire carbon offset credits. In August 2023, Taiwan upgraded the TEPA to a Ministry of Environment (MoE), which in turn established a new Climate Change Administration (CCA) to lead – in consultation with other relevant central competent authorities – on climate policy design and implementation, including the carbon fee and ETS. The  Act requires the government to develop  the carbon fee and ETS regulations. In August 2024, the MoE published three carbon fee regulations, aiming to reduce 37 million tCO 2 e by 2030. The fee of TWD 300 (USD 9.34) per tCO 2 e will be levied on power and manufacturing industries that emit more than 25,000 tCO 2 e per year. Covered entities subject to the carbon fee will be required to calculate and pay their carbon fees based on their total 2025 GHG emissions by May 2026. Preferential fees will be available for covered entities upon meeting certain criteria, including application for self-determined emission reduction plans. Under carbon fee regulations the use of emission reduction credits from domestic voluntary reduction projects and offset projects is allowed for compliance purposes, up to a limit of 10% of the entity's total chargeable emissions. Facilities in sectors at a low risk of carbon leakage are also permitted to use international reduction credits for up to 5% of their covered emissions. The MoE is to approve the standards for recognizable international offset credits. In October 2024, the Minister of Environment announced that Taiwan will transfer from the carbon fee to an ETS within four years. In January 2025, the Vice Prime Minister further declared that the government is aiming to accelerate the transition to an ETS, which could be implemented as early as 2026.",https://icapcarbonaction.com/en/ets_system/86,National,,,,,,ICAP
Thailand,,Thailand,"Thailand has been considering economic instruments to incentivize GHG emissions reductions for several years. The 2018 “National Reform Plan” mandated the Thai government to begin developing and implementing such instruments, laying the groundwork for the country’s first Climate Change Act. The final draft of the Act is expected to be submitted for cabinet and parliamentary approval in 2025, with enforcement anticipated in 2027. Proposed economic instruments include an ETS, a carbon tax on products, carbon border adjustment on imported products (relevant to the ETS), and a regulated market for carbon credits. Under the current draft act, the National Committee on Climate Change (NCCC) will develop the “Climate Change Master Plan”, serving as the national framework for climate change mitigation and adaptation. The draft also gives primary supervisory authority to the Department of Climate Change and Environment (DCCE). The draft act establishes annual MRV of GHG emissions and removals for covered entities. Ministerial regulations will define the activities and gases subject to reporting obligations. The DCCE will manage the GHG reporting system, which will include an electronic platform to standardize reporting criteria and methodologies. This system will underpin the four carbon pricing instruments outlined in the draft act. The Thailand Greenhouse Gas Management Organization (TGO) will establish industry-specific GHG ceilings and reduction targets aligned with Thailand’s NDC. The proposed ETS will function within this ceiling framework, managed by the DCCEE under the Subcommittee on Supervision of the Trading System (Subcommittee). According to the draft act, covered entities must surrender sufficient allowances annually to meet their compliance obligations under the cap. The DCCE will develop and periodically update allocation plans every three to five years, incorporating a mechanism for the progressive reduction of allowances in the system. The allocation plans will define the following for each allocation period: the scope of covered activities and gases; annual caps; the maximum number of carbon credits allowed for compliance; and allocation methods, including the share of allowances to be auctioned for each sector. The Subcommittee will revise and approve allocation plans, specifying allowances allocated to each covered entity for each period. The Subcommittee will also issue regulations governing the ETS, including: rules for holding and trading allowances; limits on banked allowances; and eligibility criteria for carbon credits used for compliance. The DCCE will establish a registry for covered entities and allowances. It will also establish or authorize an operator for a GHG emissions allowance trading center, as regulated by the Subcommittee. Between February and March 2024, the DCCE conducted a public hearing on the draft act, gathering input from over 1,500 participants. Following revisions based on this feedback, the draft underwent the review by the DCCE Subcommittee and public hearing again in November 2024. The finalized draft is scheduled for cabinet and parliamentary submission by 2025, with the Act expected to take effect in 2027. The DCCE will develop subsidiary laws to implement the mechanisms established by the Climate Change Act, such as the ETS, regulations for carbon credit markets and the GHG reporting and verification system. The TGO initiated the Thailand Voluntary Emissions Trading Scheme (Thailand V-ETS) in 2013 to test MRV systems, cap-setting, allocation procedures, and trading infrastructure for 12 GHG-intensive sectors, allowing entities to use domestic offset credits for partial compliance. Since 2021, TGO has collaborated with the Eastern Economic Corridor Office to pilot an ETS in the Eastern Economic Corridor, focusing on stakeholder engagement, capacity building, and technical support for T-VER project development.",https://icapcarbonaction.com/en/ets_system/81,National,,,,,,ICAP
Turkish Emission Trading System,,Turkey,"Over the last decade, Türkiye has been preparing to deploy carbon pricing instruments to help achieve its mitigation targets. On 2 July 2025, Türkiye's parliament adopted the country's first Climate Law, which was published in the Official Gazette on 9 July 2025 and entered into force immediately. This landmark legislation, Türkiye's first comprehensive climate law, establishes the legal basis for the Turkish Emission Trading System (TR ETS) and creates key institutional frameworks including a Carbon Market Board to oversee the system. It earmarks revenues from future allowance auctions exclusively for green transformation and climate action, with up to 10% allocated to just transition measures. The TR ETS is expected to launch as a pilot in 2026 running through 2027, before transitioning to full implementation. The law's adoption and the TR ETS were anticipated in the ""Long-Term Strategy"" document (LTS 2053) published during COP 29, as well as in Türkiye's annual Medium-Term Programs since 2022. Following the Climate Law enactment, the Directorate of Climate Change (DoCC) published the draft implementing regulation on 22 July 2025, inviting stakeholder comments which closed on 4 August 2025. The draft regulation outlines the operational framework for the TR ETS, including an intensity-based cap system, free allocation methodology based on benchmarks, and coverage of installations in power and industry sectors with emissions above 50,000 tonnes CO 2 e. Domestic offsets are expected to be allowed up to 10% of surrender obligations after but not during the pilot phase. The TR ETS will leverage data collected under Türkiye's comprehensive mandatory monitoring, reporting and verification (MRV) system which has been in place since 2015. The law and the draft regulation also establish strict compliance obligations and significant administrative penalties for non-compliance. The development of the pilot and the operational phases of the TR ETS has been supported through multiple international partnerships. A World Bank funded project under the PMI program was formally launched in January 2024, and the first activities are starting in 2025. The project will assist Türkiye in assessing design options through modeling studies and support the development of legislative and regulatory frameworks for the TR ETS. It will also help the government analyze the broader economic impact of the TR ETS, establish a national carbon crediting mechanism, develop a strategy for engaging with the emerging Article 6 markets, and commission studies on a just transition strategy. These preparations are taking place in the context of Türkiye’s “Green Deal Action Plan”, which aims to align the country with the European Green Deal and taking into account the advisory decisions of the Climate Council, a multi-stakeholder consultation which took place in 2022. As a candidate for EU accession, Türkiye is also planning to commence an Instrument for Pre-Accession Assistance (IPA III) project in 2025 for the transposition of the EU ETS legislation into domestic legislation which will further refine the national ETS’ technical features.",https://icapcarbonaction.com/en/ets_system/66,National,,,,,,ICAP
Ukraine,,Ukraine,"Ukraine plans to establish a national ETS in line with its obligations under the “Ukraine-EU Association Agreement”, which entered into force in September 2017. Issues related to climate change are addressed in Article 365 (c) Title V and in Annex XXX to the agreement, which outlines steps for the implementation of a national ETS, including: adopting national legislation and designating a competent authority or authorities; establishing a system for identifying relevant installations and GHGs; developing a national allocation plan to distribute allowances; establishing a system to issue allowances to be traded domestically among installations in Ukraine; and establishing MRV and enforcement systems, as well as public consultations procedures. The country has since established a national MRV system, with its scope partially covering activities similar to the EU ETS, to provide a solid basis for the upcoming ETS. Since 2021, the MRV procedures have been applied by regulated installations. From 2022, due to the Russian war of aggression against the country, the MRV system was implemented on a voluntary basis. In January 2025, the Ukrainian Parliament reintroduced mandatory reporting under the MRV system. Covered installations will have to report their 2024 emissions. For those located in areas where military operations are taking place or in the temporarily occupied territory, some flexibility applies. In October 2024, the Ukrainian Parliament approved the Law on the Basic Principles of State Climate Policy, mandating the establishment of an ETS. According to the law, the Ukrainian ETS will have an absolute cap on emissions for covered sectors and will be established by governmental decree. From 2023, work on the “Roadmap on the Introduction of a GHG ETS” has been ongoing. In November 2024, a draft governmental decree “On approval of an action plan for the national GHG ETS development”, produced as part of this process, was published for a one-month stakeholder consultation. The action plan stipulates that the pilot stage of the ETS will commence from 2028, with full functioning of the system starting “not earlier than in three years after martial law will be halted or cancelled”.",https://icapcarbonaction.com/en/ets_system/74,National,,,,,,ICAP
USA - Colorado Greenhouse Gas Emissions and Energy Management for Manufacturing Regulation,2024,Colorado,"In October 2023, the Colorado Air Quality Control Commission (AQCC) adopted a  regulation establishing an ETS covering large in-state manufacturers, beginning with the first compliance year in 2024. In December 2024, the AQCC adopted another regulation expanding the ETS’s covered entities, beginning in the year 2028, to include oil and gas midstream operations. The GHG crediting and tracking system, referred to as “GHG CATS”, c ame into force in November 2024 and continues to be enhanced. The regulations are designed to support the achievement of Colorado’s statutory industrial and manufacturing sector-wide as well as its economy-wide GHG emission reduction goals. The regulations prioritize benefits to disproportionately impacted communities through reductions of locally harmful air pollutants. The AQCC initially set reduction requirements for large manufacturing emitters through the “Greenhouse Gas and Energy Management for Manufacturing regulation” (GEMM 1) beginning in 2021, under the statutory direction of Colorado House Bill 19-1261. The GEMM 1 regulation applied to energy-intensive, trade-exposed (EITE or GEMM 1) manufacturing stationary sources that produced equal to or greater than 50,000 tCO 2 e emissions annually. This threshold was lowered to 25,000 tCO 2 e with the adoption of an amendment to the GEMM regulation (GEMM 2). The AQCC expanded the GEMM 1 rule through the adoption of GEMM 2 in October 2023. The GEMM 2 regulation currently covers 18 manufacturing facilities (emitting equal to or greater than 25,000 tCO 2 e) in addition to the four facilities that fall in the EITE (GEMM 1) categorization. While GEMM 2 institutes absolute emission reduction requirements, EITE (GEMM 1) sources adhere to intensity-based emissions limitations. The AQCC further expanded the entities covered with the adoption of a rule in December 2024 covering GHG emissions from oil and gas midstream fuel combustion equipment, such as engines, turbines, and heaters. Equipment operators are subject to absolute emissions caps and may participate in the market beginning in 2028.",https://icapcarbonaction.com/en/ets_system/129,SubNational,"Free Allocation (Output-based Benchmarking), Auctioning",Industry,"CO2, CH4, N2O, SF6, HFCs, PFCs, NF3",,,ICAP
